item_name,rank_median_execution_time,median_execution_time
perf_time_1,1.0,0.0005255937576293945
perf_instructions_2,2.0,0.0005400180816650391
perf_branch_misses_1,3.0,0.0005419254302978516
perf_time_2,4.0,0.0005609989166259766
perf_task_clock_1,5.0,0.0005742311477661133
perf_cache_misses_2,6.0,0.0005779266357421875
energy_2,7.0,0.0005990266799926758
weights_1,8.0,0.0006057024002075195
time_2,9.0,0.0006999969482421875
perf_cache_references_2,10.0,0.0007033348083496094
perf_cycles_2,11.0,0.0007052421569824219
perf_task_clock_2,12.0,0.0007511377334594727
perf_cpu_clock_2,13.0,0.0008252859115600586
perf_branches_2,14.0,0.0008335113525390625
perf_cache_misses_1,15.0,0.0008449554443359375
perf_cycles_1,16.0,0.0008585453033447266
perf_cache_references_1,17.0,0.0008647441864013672
time_1,18.0,0.0008671283721923828
perf_instructions_1,19.0,0.0010502338409423828
perf_branches_1,20.0,0.0010824203491210938
perf_faults_1,21.0,0.0010892152786254883
weights_2,22.0,0.001095890998840332
perf_faults_2,23.0,0.0011196136474609375
perf_branch_misses_2,24.0,0.0011909008026123047
energy_1,25.0,0.0012246370315551758
perf_cpu_clock_1,26.0,0.0013973712921142578
original,27.0,0.07166433334350586
