item_name,rank_new_highs,new_highs
perf_faults_2,1.0,1
perf_faults_1,1.0,1
weights_1,2.0,2
weights_2,3.0,3
energy_2,3.0,3
perf_time_2,4.0,4
perf_cpu_clock_1,4.0,4
time_2,5.0,5
perf_task_clock_2,5.0,5
perf_cpu_clock_2,5.0,5
perf_task_clock_1,6.0,6
perf_time_1,6.0,6
energy_1,6.0,6
perf_cache_misses_2,7.0,7
perf_branch_misses_1,7.0,7
perf_branch_misses_2,7.0,7
perf_cycles_1,8.0,8
perf_instructions_2,9.0,9
perf_cache_references_1,9.0,9
perf_cycles_2,9.0,9
perf_cache_references_2,9.0,9
perf_cache_misses_1,9.0,9
perf_branches_1,10.0,10
perf_instructions_1,10.0,10
perf_branches_2,11.0,13
time_1,11.0,13
