total_decreases,average_decrease_per_step,average_decrease_percentage_per_step,std_deviation_of_decreases,median_decrease,number_of_large_decreases,proportion_of_large_decreases,number_of_retries,item_name
8,0.30932857142857145,0.07487076641136911,0.6217472240486844,0.05350000000000055,1,0.14285714285714285,1,time
3,0.10954999999999981,0.026551782641363052,0.025850000000000373,0.10954999999999981,0,0.0,2,time
3,0.12844999999999995,0.0316988302650412,0.12124999999999986,0.12844999999999995,1,0.5,3,time
5,0.12250000000000005,0.029989228358793585,0.1318521520491797,0.06819999999999982,1,0.25,4,time
5,0.8266500000000001,0.20018162005085363,1.2530730116397844,0.1562500000000001,1,0.25,5,time
9,0.3759265,0.09021141915908439,0.8430588279611632,0.056712500000000055,1,0.125,1,perf_time
6,0.02536839999999998,0.0060884023619787045,0.01782704866880682,0.013837999999999795,2,0.4,2,perf_time
3,0.5442944999999999,0.1324169314383305,0.5136954999999999,0.5442944999999999,1,0.5,3,perf_time
6,0.42618620000000007,0.10277432131061519,0.8128977969317912,0.027781000000000056,1,0.2,4,perf_time
7,0.061263666666666605,0.014860253013451922,0.10610065646932727,0.01607449999999999,1,0.16666666666666666,5,perf_time
12,12372151.727272727,0.0006937743269895019,31421785.316236664,1128126.0,1,0.09090909090909091,1,perf_instructions
16,904556517.5,0.05071901258160008,3228059451.07865,590132.0,1,0.06666666666666667,2,perf_instructions
12,1514837597.2727273,0.0849405113591912,3961554536.0378275,172931.0,1,0.09090909090909091,3,perf_instructions
7,233603462.70833334,0.01309945097618148,452338774.1307354,6451514.25,1,0.16666666666666666,4,perf_instructions
4,103397.0,5.797915692957748e-06,35032.26455332049,109290.79999923706,0,0.0,5,perf_instructions
11,147157757.6,0.009394557030359735,312607810.10550326,12385858.5,2,0.2,1,perf_cycles
9,159247034.0625,0.01016745456738716,382709120.85767967,15126891.0,1,0.125,2,perf_cycles
2,10086236.66666603,0.0006442142051393954,0.0,10086236.66666603,0,0.0,3,perf_cycles
5,284342162.5,0.018160824707057314,483029568.3627025,7695333.0,1,0.25,4,perf_cycles
11,114942695.42000008,0.007343834914512175,265011066.57707587,6827126.299999237,2,0.2,5,perf_cycles
7,106272203.33333333,0.10760075458462287,207668192.79797423,16033318.5,1,0.16666666666666666,1,perf_cache_references
6,7479602.0,0.007809645947191605,6401330.399103408,3699850.5,1,0.2,2,perf_cache_references
7,100264472.77777767,0.10540433234367425,206554184.39482644,6293724.5,1,0.16666666666666666,3,perf_cache_references
4,26202440.5,0.02764771380445719,29690226.670343332,10174507.25,1,0.3333333333333333,4,perf_cache_references
7,57940097.03333334,0.06017104724266379,110456541.02813555,5616351.5,1,0.16666666666666666,5,perf_cache_references
9,29260961.375,0.1237849202296068,75033205.09077218,408965.0,1,0.125,1,perf_cache_misses
10,4856075.222222222,0.019887463730783355,4607881.165576768,3376453.5,4,0.4444444444444444,2,perf_cache_misses
6,2581078.733333403,0.010807022585714943,1953660.7893938294,1677713.0,1,0.2,3,perf_cache_misses
9,26210831.4375,0.10895834454358477,64105990.31245251,1332504.25,1,0.125,4,perf_cache_misses
6,6808947.360000002,0.027877795671365776,8874670.920234626,3707241.199999988,1,0.2,5,perf_cache_misses
8,41501384.571428575,0.01567972613042707,100211538.59881741,89611.0,1,0.14285714285714285,1,perf_branches
15,175847460.5357143,0.06643385339367948,443921693.0707978,36493.5,2,0.14285714285714285,2,perf_branches
4,28225755.333333332,0.010663800936302733,39660684.25088611,267290.0,1,0.3333333333333333,3,perf_branches
11,159029258.65,0.06008066630767681,455924318.361818,52868.875,1,0.1,4,perf_branches
8,273083335.0,0.10317265334894636,668839240.9269881,20510.800000071526,1,0.14285714285714285,5,perf_branches
12,1724684.2727272727,0.005471179564387521,3405002.9809202836,44981.0,2,0.18181818181818182,1,perf_branch_misses
15,12828160.892857144,0.0406818539281052,43968447.74926716,104537.0,1,0.07142857142857142,2,perf_branch_misses
8,554595.3809524263,0.0017591161698521367,870539.1982196663,33529.0,2,0.2857142857142857,3,perf_branch_misses
10,136357.63888888888,0.00043259330675544206,284991.3262923323,29900.0,1,0.1111111111111111,4,perf_branch_misses
10,10433819.822222225,0.033098701137977374,17278908.042775925,696689.2000000477,3,0.3333333333333333,5,perf_branch_misses
8,173.17428571428576,0.041883865234443166,228.27824981538546,68.84000000000015,1,0.14285714285714285,1,perf_cpu_clock
6,65.0340000000001,0.015833894331142524,29.294803361688512,54.24000000000024,1,0.2,2,perf_cpu_clock
4,105.52666666666664,0.025769637769637765,129.0038054271845,20.61666699999978,1,0.3333333333333333,3,perf_cpu_clock
6,419.117,0.1032122303132688,674.9515552085942,71.34999999999991,1,0.2,4,perf_cpu_clock
12,128.7689090909091,0.03136489963266661,206.39798057391863,9.019999999999982,3,0.2727272727272727,5,perf_cpu_clock
5,105.90750000000014,0.025739690270648655,39.99447547787084,92.81500000000005,1,0.25,1,perf_task_clock
7,473.11583333333346,0.11454493658193306,999.1124725242262,37.932500000000005,1,0.16666666666666666,2,perf_task_clock
6,218.7546666,0.053680238638123996,396.56331612340074,18.11333300000024,1,0.2,3,perf_task_clock
4,20.2191666666666,0.004913106876425919,14.478850715977396,15.565000000000055,1,0.3333333333333333,4,perf_task_clock
5,537.0555,0.13195434409252066,919.3440321069963,7.4500000000000455,1,0.25,5,perf_task_clock
10,365.77777777777777,0.032684994886764164,952.404649969723,18.0,1,0.1111111111111111,1,perf_faults
9,34.1875,0.003058052685719397,48.738420099034805,7.75,2,0.25,2,perf_faults
8,41.57142857142857,0.003715494420263666,88.07855699853005,6.0,1,0.14285714285714285,3,perf_faults
6,29.1,0.0026029204588653592,43.345299629832994,5.0,1,0.2,4,perf_faults
6,673.1199999999999,0.060192438387523695,1312.0879153471383,27.200000000000728,1,0.2,5,perf_faults
11,334552072.6323999,0.0314855505426711,507427291.10106593,173336096.65199947,2,0.2,1,weights
7,98582562.72049968,0.009184184963531197,129552052.62373365,42531662.90775013,1,0.16666666666666666,2,weights
7,102821972.98738861,0.009715240238873766,91445250.32157268,75567092.73433399,1,0.16666666666666666,3,weights
4,84915422.13283348,0.0080750408807877,36960671.01204405,61390872.21049881,1,0.3333333333333333,4,weights
7,1077970753.0197668,0.10172816244775983,2074918137.491326,72981750.37540054,1,0.16666666666666666,5,weights
13,211599.25,0.006875896676483268,395909.6763779429,43622.0,2,0.16666666666666666,1,energy
7,2890186.9166666665,0.09459997751568332,5946497.378746461,226066.0,1,0.16666666666666666,2,energy
9,1862707.5,0.06065751544143885,3714552.1341469213,332876.33333300054,1,0.125,3,energy
5,3488942.8125,0.1133176948399622,5522359.948895072,414233.625,1,0.25,4,energy
2,22440352.6,0.7285895805937384,0.0,22440352.6,0,0.0,5,energy
