item_name_orig,mean_median_execution_time,rank
energy,2.297824178600422,1.0
perf_branches,2.332169744500425,2.0
perf_cache_misses,2.696290191800472,3.0
perf_instructions,2.702014836599983,4.0
perf_time,2.7169404908000616,5.0
time,2.7418167389000017,6.0
perf_faults,2.7459975915997346,7.0
perf_task_clock,2.7608821860008903,8.0
perf_cpu_clock,2.950711256300201,9.0
perf_cache_references,2.9795892071000707,10.0
perf_branch_misses,3.2975402669002505,11.0
weights,3.329639562799275,12.0
perf_cycles,3.7499661472998014,13.0
original,4.000260961500004,14.0
