item_name,rank_median_execution_time,median_execution_time
perf_instructions_3,1.0,0.36021683600006327
perf_faults_5,2.0,0.37480496799980756
perf_cache_misses_1,3.0,0.42831540050065087
time_5,4.0,0.858150197499981
perf_branches_2,5.0,0.9320019020015025
perf_faults_1,6.0,0.992053912999836
perf_time_1,7.0,1.0890751130000353
perf_instructions_2,8.0,1.1982806820001315
perf_branches_5,9.0,1.2113591600009386
energy_5,10.0,1.3959634185011964
perf_task_clock_2,11.0,1.4377388399989286
perf_cache_misses_4,12.0,1.4594978555005582
weights_5,13.0,1.7277616634964943
perf_branches_4,14.0,1.7898881344990514
energy_2,15.0,1.8449239705005311
perf_branch_misses_2,16.0,1.881589629498194
perf_cache_references_3,17.0,1.9071012514996255
perf_task_clock_5,18.0,1.911228172502888
time_1,19.0,1.9331530260000136
perf_cpu_clock_4,20.0,1.9437603445003333
perf_cache_references_1,21.0,1.9665819950005243
perf_time_4,22.0,1.9842337854997822
energy_3,23.0,2.1985181079980975
energy_4,24.0,2.366422967003018
perf_cpu_clock_5,25.0,2.5856148964994645
perf_branch_misses_5,26.0,2.8221502310007054
perf_task_clock_3,27.0,2.858280102502249
perf_cpu_clock_1,28.0,2.875724812500266
perf_time_3,29.0,2.9167899130002297
perf_cache_references_5,30.0,3.0142355725001835
weights_1,31.0,3.06256105850116
time_4,32.0,3.495418411500168
perf_cpu_clock_2,33.0,3.603620537000097
perf_time_5,34.0,3.630803740000374
perf_cycles_1,35.0,3.6373173814999973
time_3,36.0,3.6410340209997685
perf_branch_misses_1,37.0,3.6564330450000853
perf_cycles_2,38.0,3.6705869034994976
perf_task_clock_1,39.0,3.677546168499248
energy_1,40.0,3.683292428999266
perf_cycles_5,41.0,3.7099235374989803
perf_cache_misses_5,42.0,3.715012871500221
perf_instructions_4,43.0,3.7181978080000135
perf_cycles_4,44.0,3.7350849750000634
perf_cpu_clock_3,45.0,3.7448356910008442
time_2,46.0,3.781328038500078
perf_cache_references_4,47.0,3.836625674500283
perf_branches_1,48.0,3.84097434099931
perf_cache_misses_2,49.0,3.8453315645001567
perf_faults_3,50.0,3.848597307500313
perf_branches_3,51.0,3.8866251850013214
perf_task_clock_4,52.0,3.9196176465011376
weights_2,53.0,3.933939124501194
weights_3,54.0,3.9430256494961213
perf_time_2,55.0,3.9637999024998862
weights_4,56.0,3.9809103180014063
perf_cycles_3,57.0,3.9969179390004683
original,58.0,4.000260961500004
perf_cache_misses_3,59.0,4.033293267000772
perf_branch_misses_3,60.0,4.042745516500872
perf_instructions_1,61.0,4.084712093000007
perf_branch_misses_4,62.0,4.084782912501396
perf_instructions_5,63.0,4.1486667639996995
perf_cache_references_2,64.0,4.173401541999738
perf_faults_4,65.0,4.180479885999375
perf_faults_2,66.0,4.334051883499342
