item_name,rank_new_highs,new_highs
energy_5,1.0,0
time_2,2.0,1
perf_task_clock_4,3.0,2
perf_cpu_clock_3,3.0,2
perf_cycles_3,3.0,2
energy_4,4.0,3
perf_instructions_5,4.0,3
weights_4,5.0,4
perf_task_clock_5,5.0,4
perf_task_clock_3,5.0,4
perf_task_clock_1,5.0,4
perf_cache_misses_5,5.0,4
perf_branches_3,5.0,4
perf_time_4,5.0,4
perf_instructions_4,6.0,5
perf_cache_misses_3,6.0,5
perf_time_3,6.0,5
time_5,6.0,5
perf_faults_4,6.0,5
time_4,6.0,5
perf_faults_5,6.0,5
weights_2,6.0,5
time_3,6.0,5
weights_5,6.0,5
perf_cycles_4,6.0,5
perf_time_5,6.0,5
perf_faults_3,7.0,6
perf_task_clock_2,7.0,6
perf_time_2,7.0,6
perf_cpu_clock_2,7.0,6
time_1,7.0,6
perf_cache_references_1,7.0,6
perf_cache_references_2,7.0,6
perf_cache_references_3,7.0,6
perf_branches_1,7.0,6
perf_cache_references_4,7.0,6
perf_cache_references_5,7.0,6
perf_cache_misses_4,8.0,7
perf_branches_5,8.0,7
energy_3,8.0,7
perf_faults_2,8.0,7
perf_branch_misses_3,8.0,7
perf_cpu_clock_4,8.0,7
weights_3,8.0,7
perf_time_1,9.0,8
perf_faults_1,9.0,8
perf_cache_misses_1,9.0,8
perf_cycles_2,9.0,8
perf_cache_misses_2,10.0,9
perf_cpu_clock_1,10.0,9
perf_branch_misses_5,10.0,9
energy_2,10.0,9
perf_branches_4,10.0,9
perf_cycles_5,10.0,9
perf_cycles_1,11.0,10
perf_branch_misses_4,11.0,10
perf_instructions_1,11.0,10
perf_cpu_clock_5,11.0,10
perf_instructions_3,11.0,10
weights_1,11.0,10
energy_1,12.0,11
perf_branch_misses_2,13.0,13
perf_branch_misses_1,13.0,13
perf_branches_2,13.0,13
perf_instructions_2,14.0,14
