total_decreases,average_decrease_per_step,average_decrease_percentage_per_step,std_deviation_of_decreases,median_decrease,number_of_large_decreases,proportion_of_large_decreases,number_of_retries,item_name
7,0.11315000000000008,0.027694830624632873,0.11188417746342266,0.06300000000000017,2,0.3333333333333333,1,time
13,0.1388166666666667,0.034844415438807876,0.34676137768724413,0.028099999999999792,1,0.08333333333333333,2,time
2,0.10459999999999958,0.025208463874294977,0.0,0.10459999999999958,0,0.0,3,time
2,0.10459999999999958,0.025208463874294977,0.0,0.10459999999999958,0,0.0,4,time
4,0.018866666666666514,0.004587973996076678,0.017964100002195806,0.010100000000000442,1,0.3333333333333333,5,time
6,0.36040040000000007,0.08698224323673988,0.612394469111732,0.061808000000000085,1,0.2,1,perf_time
7,0.17109833333333335,0.041293269863519305,0.3421430915400099,0.022353499999999693,1,0.16666666666666666,2,perf_time
8,0.010486285714285717,0.0025399458245929417,0.008516234726589396,0.005949000000000204,3,0.42857142857142855,3,perf_time
3,0.020650499999999905,0.0049891967780957835,0.008779499999999718,0.020650499999999905,0,0.0,4,perf_time
6,0.15530539999999995,0.037482996874996975,0.20902755494202196,0.045684999999999754,1,0.2,5,perf_time
24,423777801.82608694,0.023757033506152943,1309463919.6040123,745943.0,4,0.17391304347826086,1,perf_instructions
4,954832.5,5.3532356469323015e-05,487330.88127899985,647030.0,1,0.3333333333333333,2,perf_instructions
12,801801145.4545453,0.0449507038391173,2473799697.808029,539240.0,1,0.09090909090909091,3,perf_instructions
8,129556966.57142857,0.007262948056846817,207669812.85787657,687297.5,2,0.2857142857142857,4,perf_instructions
6,810820995.2800003,0.04545633869797967,1619660479.9378781,285530.39999961853,1,0.2,5,perf_instructions
12,839595134.4545455,0.053571799235351665,2324586729.2993264,12617778.0,1,0.09090909090909091,1,perf_cycles
8,25959447.64285714,0.0016535728000124173,37861101.31089396,8776243.0,1,0.14285714285714285,2,perf_cycles
3,49935600.333333015,0.003186892950721694,35759767.00000095,49935600.333333015,1,0.5,3,perf_cycles
5,173468952.125,0.01107497156210542,203813172.24474218,86679391.125,1,0.25,4,perf_cycles
4,5942127.333333333,0.0003789335481462086,1780334.2952818093,5681097.0,0,0.0,5,perf_cycles
14,34077158.76923077,0.03437125507278208,63506763.23826224,11190455.0,2,0.15384615384615385,1,perf_cache_references
7,111460336.16666667,0.11230071577613206,117921336.27600183,57568094.25,2,0.3333333333333333,2,perf_cache_references
7,111460336.16666667,0.11230071577613206,117921336.27600183,57568094.25,2,0.3333333333333333,3,perf_cache_references
3,11881604.375,0.012330162493229834,7352654.125,11881604.375,1,0.5,4,perf_cache_references
6,18287094.2,0.018389686694469224,15411933.048565993,9823036.200000048,1,0.2,5,perf_cache_references
19,8023790.0,0.03132527495831646,17412774.019689675,2182480.0,3,0.16666666666666666,1,perf_cache_misses
6,12427753.8,0.05086531741283663,22580405.295526378,645504.5,1,0.2,2,perf_cache_misses
15,10573943.0,0.04282950558934339,17592238.41272684,1741556.8333335072,3,0.21428571428571427,3,perf_cache_misses
8,1085884.75,0.004393002397074066,937305.2755155049,715501.75,1,0.14285714285714285,4,perf_cache_misses
5,3021470.5500000045,0.012292842910081711,1667353.4744918628,3407681.299999997,1,0.25,5,perf_cache_misses
15,55620152.071428575,0.021007191067573015,140673270.98547634,110904.5,2,0.14285714285714285,1,perf_branches
8,433143.28571428574,0.00016359724929937772,548255.0543286568,66888.0,2,0.2857142857142857,2,perf_branches
5,66206.5,2.5004753747758615e-05,49310.590114667386,65487.16666698456,1,0.25,3,perf_branches
9,34982978.375,0.013212643078751979,61193331.63805923,82874.375,2,0.25,4,perf_branches
4,68177178.26666673,0.025750339372838073,96294613.14481626,97295.59999990463,1,0.3333333333333333,5,perf_branches
14,4199234.0,0.01332329508550831,6568073.43897382,30946.0,4,0.3076923076923077,1,perf_branch_misses
15,6927061.607142857,0.021975555063434016,9481536.004776096,78193.25,4,0.2857142857142857,2,perf_branch_misses
5,9482817.916666508,0.030081847819849683,16389100.497453919,24863.666666030884,1,0.25,3,perf_branch_misses
3,41676.375,0.00013220950743398653,15443.375,41676.375,0,0.0,4,perf_branch_misses
3,11438.199999988079,3.628340599628636e-05,5688.800000011921,11438.199999988079,0,0.0,5,perf_branch_misses
4,52.3733333333333,0.012962926294807562,37.71528101741014,57.65000000000009,1,0.3333333333333333,1,perf_cpu_clock
8,105.81928571428567,0.02556391885642501,155.5345443813637,51.27000000000044,1,0.14285714285714285,2,perf_cpu_clock
5,30.62833349999994,0.007427433325484813,17.479390391687243,24.44166650000011,1,0.25,3,perf_cpu_clock
8,326.6889285714286,0.07944368774470369,778.2880311813244,7.442500000000109,1,0.14285714285714285,4,perf_cpu_clock
4,402.91533333333336,0.09789958429694381,556.7027556110073,10.774000000000342,1,0.3333333333333333,5,perf_cpu_clock
9,88.65874999999994,0.021517651712990367,136.4797672218762,42.8599999999999,1,0.125,1,perf_task_clock
4,370.8500000000001,0.0906570774123681,510.31460758699296,15.095000000000255,1,0.3333333333333333,2,perf_task_clock
3,21.616667000000007,0.005285769908419188,8.879999999999882,21.616667000000007,0,0.0,3,perf_task_clock
2,101.21499999999969,0.02469913071700436,0.0,101.21499999999969,0,0.0,4,perf_task_clock
11,47.85600000000004,0.01158417236442893,95.22518525684261,21.333999999999833,1,0.1,5,perf_task_clock
8,80.71428571428571,0.007156790717705773,176.1839252321394,12.0,1,0.14285714285714285,1,perf_faults
9,100.8125,0.008938466994724475,148.69010085997655,22.5,2,0.25,2,perf_faults
5,215.5,0.019124955626553072,350.7811521010405,15.666666999999507,1,0.25,3,perf_faults
7,133.79166666666666,0.011852032304262449,178.81062006274186,11.125,2,0.3333333333333333,4,perf_faults
6,158.44000000000014,0.014053325291373235,202.41037127578173,20.19999999999891,1,0.2,5,perf_faults
5,529433315.2082498,0.051124170001350805,790784937.4419066,79303582.87399912,1,0.25,1,weights
4,542922001.1046671,0.051547968386855145,439511691.7813987,480190774.0985012,1,0.3333333333333333,2,weights
2,35456808.948999405,0.0033760704087749537,0.0,35456808.948999405,0,0.0,3,weights
3,35632108.92387581,0.00338090829171921,18322289.928375244,35632108.92387581,1,0.5,4,weights
5,45475395.64510012,0.004271566465954647,36485306.1475094,34794156.722800255,1,0.25,5,weights
15,847869.6428571428,0.027237486485805172,1353665.654576576,140404.5,3,0.21428571428571427,1,energy
3,63263.25,0.002018168710300448,61928.25,63263.25,1,0.5,2,energy
2,223007.25,0.00711123691249092,0.0,223007.25,0,0.0,3,energy
2,223007.25,0.00711123691249092,0.0,223007.25,0,0.0,4,energy
9,950208.3250000002,0.030375635622668228,1650780.3798524684,173528.0,2,0.25,5,energy
