item_name_orig,mean_median_execution_time,rank
perf_instructions,3.101444554400223,1.0
perf_cpu_clock,3.152165323600002,2.0
perf_cache_references,3.4475303213000372,3.0
perf_cycles,3.49234177299968,4.0
perf_cache_misses,3.5828947793990666,5.0
perf_time,3.705281848700088,6.0
time,3.7710124602000654,7.0
energy,3.794487771399436,8.0
perf_task_clock,3.874164318699968,9.0
perf_branch_misses,3.879903197900023,10.0
perf_branches,3.8894229288991484,11.0
weights,3.9509937609998813,12.0
original,3.958308176999992,13.0
perf_faults,4.103361803899861,14.0
