item_name,rank_median_execution_time,median_execution_time
perf_instructions_3,1.0,1.7788769025000875
perf_cpu_clock_4,2.0,1.810099441499915
perf_cycles_1,3.0,1.870034919000318
perf_instructions_1,4.0,1.9291762285001823
perf_cache_references_2,5.0,2.2554163804998097
time_2,6.0,2.5157025975000806
perf_time_1,7.0,2.5687589860003754
perf_cpu_clock_5,8.0,2.8698029270003644
perf_cache_references_1,9.0,2.932319908500176
perf_cache_misses_1,10.0,3.027369257999453
energy_1,11.0,3.130871824499991
perf_branch_misses_2,12.0,3.298649570000066
perf_cpu_clock_2,13.0,3.370658673500202
perf_cache_misses_2,14.0,3.4310790689978603
perf_cache_misses_3,15.0,3.471092347499507
perf_task_clock_5,16.0,3.5641686500002834
perf_branches_4,17.0,3.626587090000612
perf_cpu_clock_1,18.0,3.7778978804999497
perf_branches_1,19.0,3.7857779419973667
perf_instructions_4,20.0,3.7966942010007187
perf_cycles_4,21.0,3.8143673114991543
energy_2,22.0,3.876611816498553
weights_2,23.0,3.8875434890005636
perf_task_clock_3,24.0,3.888791665000099
perf_faults_3,25.0,3.8958941344999403
perf_cycles_3,26.0,3.903771602499546
perf_cycles_2,27.0,3.914542578999317
energy_4,28.0,3.915219732998594
weights_5,29.0,3.9310576549996767
perf_cpu_clock_3,30.0,3.932367695499579
perf_branch_misses_3,31.0,3.942393521999975
weights_4,32.0,3.9445602594987577
perf_task_clock_2,33.0,3.946430289000091
perf_cache_references_4,34.0,3.9464683099995455
energy_5,35.0,3.9497354830000404
perf_branches_5,36.0,3.951978073499049
perf_time_5,37.0,3.9566063295001186
original,38.0,3.958308176999992
perf_cycles_5,39.0,3.9589924530000644
perf_branch_misses_5,40.0,3.9768932375000077
perf_instructions_5,41.0,3.977371091999885
perf_branches_3,42.0,3.978193648499655
perf_cache_misses_4,43.0,3.979639766999753
perf_task_clock_4,44.0,3.985465314499379
perf_task_clock_1,45.0,3.9859656749999886
perf_time_2,46.0,3.9893088675003128
weights_3,47.0,3.993500144000791
weights_1,48.0,3.9983072574996186
perf_time_3,49.0,3.99862967450008
perf_cache_references_5,50.0,4.003447007500654
perf_cache_misses_5,51.0,4.005293455498759
time_4,52.0,4.0063026790001
perf_time_4,53.0,4.013105385999552
perf_branch_misses_4,54.0,4.020709667500114
time_5,55.0,4.021697372000062
perf_instructions_2,56.0,4.025104348000241
perf_faults_1,57.0,4.06179702999907
energy_3,58.0,4.1
perf_cache_references_3,58.0,4.1
perf_branches_2,59.0,4.104577890499058
time_1,60.0,4.105056973499984
perf_branch_misses_1,61.0,4.160869992499954
perf_faults_5,62.0,4.182992670499516
perf_faults_4,63.0,4.187063565500466
perf_faults_2,64.0,4.189061619000313
time_3,65.0,4.2063026790001
