item_name,rank_new_highs,new_highs
perf_cache_references_3,1.0,0
energy_3,1.0,0
time_3,1.0,0
time_4,2.0,1
perf_task_clock_4,3.0,2
energy_4,3.0,2
perf_cycles_3,3.0,2
weights_2,3.0,2
perf_cache_references_4,3.0,2
perf_cycles_5,4.0,3
perf_branch_misses_4,4.0,3
perf_task_clock_3,4.0,3
weights_3,4.0,3
perf_instructions_2,4.0,3
perf_cpu_clock_1,4.0,3
perf_time_4,4.0,3
energy_2,4.0,3
perf_branch_misses_5,4.0,3
perf_branches_5,4.0,3
weights_4,4.0,3
perf_task_clock_2,5.0,4
perf_cache_misses_5,5.0,4
perf_faults_5,5.0,4
perf_branch_misses_3,5.0,4
perf_time_5,5.0,4
perf_time_1,5.0,4
perf_faults_4,6.0,5
perf_cache_misses_2,6.0,5
perf_instructions_5,6.0,5
perf_cpu_clock_5,6.0,5
weights_5,6.0,5
perf_cpu_clock_3,6.0,5
perf_time_2,6.0,5
time_5,6.0,5
time_1,6.0,5
weights_1,7.0,6
perf_faults_3,7.0,6
perf_branches_3,7.0,6
perf_instructions_4,7.0,6
perf_cycles_2,7.0,6
perf_cache_references_2,7.0,6
perf_cache_references_5,7.0,6
perf_cpu_clock_4,8.0,7
perf_cache_misses_4,8.0,7
perf_cycles_4,8.0,7
perf_faults_2,9.0,8
perf_branches_4,9.0,8
perf_cpu_clock_2,9.0,8
perf_faults_1,10.0,9
energy_5,10.0,9
perf_task_clock_1,10.0,9
perf_branches_2,10.0,9
perf_time_3,11.0,10
perf_task_clock_5,11.0,10
time_2,12.0,11
perf_cycles_1,13.0,12
perf_instructions_3,13.0,12
perf_branch_misses_2,14.0,13
perf_cache_references_1,14.0,13
energy_1,15.0,14
perf_branch_misses_1,15.0,14
perf_cache_misses_3,16.0,15
perf_branches_1,16.0,15
perf_cache_misses_1,17.0,18
perf_instructions_1,18.0,25
