item_name_orig,mean_median_execution_time,rank
perf_branch_misses,6.012065720558167,1.0
perf_cache_references,6.522461748123169,2.0
perf_cycles,7.450846195220947,3.0
weights,7.513673949241638,4.0
perf_cache_misses,7.709543776512146,5.0
perf_branches,7.986126136779785,6.0
time,8.067270207405091,7.0
perf_faults,8.839443898200988,8.0
perf_instructions,9.018556189537048,9.0
perf_time,9.508661365509033,10.0
perf_cpu_clock,9.809534168243408,11.0
perf_task_clock,9.878630185127259,12.0
energy,10.560656571388245,13.0
original,11.330127358436584,14.0
