item_name,rank_median_execution_time,median_execution_time
perf_branch_misses_2,1.0,0.2182706594467163
perf_faults_4,2.0,0.23503828048706055
time_3,3.0,0.2532910108566284
perf_cache_references_2,4.0,2.440570831298828
perf_cycles_1,5.0,2.4812954664230347
perf_cache_references_5,6.0,2.4831942319869995
perf_branches_2,7.0,2.494709610939026
perf_instructions_3,8.0,2.529571294784546
perf_cache_misses_2,9.0,2.5505545139312744
weights_4,10.0,2.587908625602722
perf_branch_misses_5,11.0,2.6344406604766846
perf_branches_1,12.0,3.945666790008545
perf_cache_misses_1,13.0,6.242451429367065
perf_cycles_2,14.0,7.531292080879211
perf_faults_5,15.0,7.612910866737366
perf_cache_misses_5,16.0,8.031002759933472
perf_cache_references_4,17.0,8.051676154136658
perf_cache_references_3,18.0,8.05714762210846
perf_task_clock_3,19.0,8.089841842651367
perf_cpu_clock_1,20.0,8.13544750213623
perf_branch_misses_3,21.0,8.228339195251465
perf_cpu_clock_3,22.0,8.236500144004822
weights_3,23.0,8.249244928359985
perf_cycles_4,24.0,8.263872265815735
perf_branch_misses_1,25.0,8.275465726852417
energy_1,26.0,8.29337739944458
weights_2,27.0,8.454094767570496
perf_cycles_3,28.0,8.570194363594055
perf_time_5,29.0,8.650122880935669
weights_1,30.0,8.673889756202698
perf_time_1,31.0,8.725318312644958
time_2,32.0,9.08476984500885
time_4,33.0,9.281844139099121
perf_instructions_2,34.0,9.37729299068451
perf_task_clock_4,35.0,9.392496347427368
perf_time_4,36.0,9.396519303321838
perf_faults_1,37.0,9.530587196350098
weights_5,38.0,9.60323166847229
perf_time_2,39.0,10.319534540176392
perf_cache_misses_4,40.0,10.388896584510803
perf_cycles_5,41.0,10.4075767993927
time_1,42.0,10.449960112571716
perf_time_3,43.0,10.451811790466309
perf_instructions_5,44.0,10.453182697296143
perf_task_clock_5,45.0,10.484713792800903
perf_cpu_clock_2,46.0,10.601227760314941
perf_task_clock_1,47.0,10.628206014633179
perf_cpu_clock_4,48.0,10.656541228294373
perf_branch_misses_4,49.0,10.70381236076355
energy_2,50.0,10.718323111534119
perf_branches_3,51.0,10.738019704818726
energy_4,52.0,10.775978326797485
perf_task_clock_2,53.0,10.797892928123474
time_5,54.0,11.266485929489136
perf_instructions_4,55.0,11.303574204444885
perf_branches_4,56.0,11.321665644645691
original,57.0,11.330127358436584
perf_cache_misses_3,58.0,11.334813594818115
perf_cpu_clock_5,59.0,11.417954206466675
perf_instructions_1,60.0,11.429159760475159
perf_branches_5,61.0,11.430568933486938
perf_faults_3,62.0,11.453448176383972
energy_5,63.0,11.50574254989624
energy_3,64.0,11.509861469268799
perf_cache_references_1,65.0,11.5797199010849
perf_faults_2,66.0,15.365234971046448
