item_name,rank_new_highs,new_highs
energy_3,1.0,1
perf_cache_references_2,1.0,1
perf_cache_misses_3,2.0,2
perf_time_3,2.0,2
perf_branches_4,2.0,2
perf_branches_5,2.0,2
perf_branch_misses_4,2.0,2
perf_task_clock_2,2.0,2
perf_cache_misses_4,2.0,2
perf_cpu_clock_4,2.0,2
perf_cache_misses_5,3.0,3
perf_cache_references_5,3.0,3
perf_cache_references_4,3.0,3
energy_4,3.0,3
perf_cycles_4,3.0,3
energy_5,3.0,3
perf_task_clock_4,3.0,3
perf_faults_3,3.0,3
perf_time_4,3.0,3
weights_4,3.0,3
perf_instructions_5,3.0,3
perf_cpu_clock_1,4.0,4
perf_task_clock_5,4.0,4
perf_faults_4,4.0,4
perf_faults_5,4.0,4
weights_2,4.0,4
weights_5,4.0,4
perf_cpu_clock_5,4.0,4
perf_branches_3,4.0,4
perf_cycles_5,4.0,4
time_3,4.0,4
time_4,4.0,4
time_5,4.0,4
perf_time_5,5.0,5
perf_instructions_2,5.0,5
energy_2,5.0,5
perf_cache_references_3,5.0,5
perf_cache_references_1,5.0,5
perf_branch_misses_3,5.0,5
perf_cycles_3,5.0,5
perf_cpu_clock_3,5.0,5
perf_task_clock_3,6.0,6
perf_time_1,6.0,6
perf_branch_misses_5,6.0,6
perf_time_2,6.0,6
time_2,6.0,6
perf_cpu_clock_2,6.0,6
perf_instructions_4,7.0,7
perf_cache_misses_2,7.0,7
perf_instructions_3,7.0,7
weights_3,8.0,8
perf_cache_misses_1,8.0,8
perf_faults_1,8.0,8
perf_task_clock_1,8.0,8
time_1,9.0,9
perf_cycles_2,10.0,10
perf_branch_misses_2,10.0,10
perf_faults_2,10.0,10
perf_branch_misses_1,11.0,11
weights_1,12.0,12
energy_1,12.0,12
perf_instructions_1,13.0,13
perf_cycles_1,14.0,14
perf_branches_1,15.0,16
perf_branches_2,16.0,17
