item_name_orig,mean_median_execution_time,rank
perf_task_clock,1.9271720886230468,1.0
perf_instructions,2.020494508743286,2.0
time,2.068626070022583,3.0
perf_branch_misses,2.0879953622817995,4.0
perf_cycles,2.130303478240967,5.0
perf_time,2.152089309692383,6.0
perf_cpu_clock,2.1650689601898194,7.0
perf_cache_misses,2.401049780845642,8.0
perf_faults,2.7025581121444704,9.0
perf_cache_references,2.7134745597839354,10.0
perf_branches,3.9021162509918215,11.0
weights,6.74792902469635,12.0
original,11.4319669008255,13.0
energy,13.895499420166015,14.0
