item_name,rank_median_execution_time,median_execution_time
perf_instructions_1,1.0,1.6615811586380005
perf_task_clock_1,2.0,1.717692494392395
perf_task_clock_5,3.0,1.780320644378662
perf_cpu_clock_2,4.0,1.805189609527588
perf_instructions_3,5.0,1.8098243474960327
perf_time_2,6.0,1.8161213397979736
perf_task_clock_2,7.0,1.8312344551086426
perf_branch_misses_5,8.0,1.834391713142395
perf_cycles_3,9.0,1.8395458459854126
perf_cpu_clock_1,10.0,1.844101905822754
perf_cache_misses_5,11.0,1.8562568426132202
perf_cycles_2,12.0,1.8565864562988281
perf_time_1,13.0,1.869330883026123
weights_1,14.0,1.8696725368499756
weights_2,15.0,1.878733515739441
time_3,16.0,1.8847949504852295
time_2,17.0,1.9224357604980469
perf_branches_2,18.0,1.9271717071533203
perf_branch_misses_2,19.0,1.9543449878692627
perf_cache_misses_4,20.0,1.9691932201385498
perf_time_5,21.0,1.9824650287628174
perf_cpu_clock_5,22.0,2.000456690788269
perf_branch_misses_1,23.0,2.003908395767212
perf_cycles_5,24.0,2.01540207862854
perf_branch_misses_4,25.0,2.0179784297943115
time_4,26.0,2.0453420877456665
time_5,27.0,2.0459731817245483
perf_time_4,28.0,2.064348816871643
perf_instructions_2,29.0,2.070306420326233
perf_branches_3,30.0,2.090515613555908
perf_task_clock_4,31.0,2.0930285453796387
perf_faults_1,32.0,2.1224241256713867
perf_cache_misses_3,33.0,2.130119562149048
perf_cache_misses_1,34.0,2.1953030824661255
perf_cache_references_5,35.0,2.1964911222457886
perf_task_clock_3,36.0,2.213584303855896
perf_instructions_4,37.0,2.2606440782546997
perf_cycles_4,38.0,2.2944504022598267
perf_instructions_5,39.0,2.300116539001465
perf_branches_4,40.0,2.32715904712677
time_1,41.0,2.444584369659424
perf_faults_2,42.0,2.4723109006881714
perf_branches_1,43.0,2.5270215272903442
perf_cpu_clock_3,44.0,2.5656344890594482
perf_cache_references_1,45.0,2.574838399887085
perf_cpu_clock_4,46.0,2.6099621057510376
perf_branch_misses_3,47.0,2.6293532848358154
perf_cycles_1,48.0,2.6455326080322266
perf_cache_references_2,49.0,2.6813055276870728
perf_cache_references_4,50.0,2.6978659629821777
perf_faults_5,51.0,2.9252346754074097
perf_faults_3,52.0,2.97933828830719
perf_faults_4,53.0,3.0134825706481934
perf_time_3,54.0,3.028180480003357
perf_cache_references_3,55.0,3.4168717861175537
perf_cache_misses_2,56.0,3.854376196861267
weights_3,57.0,7.625683069229126
energy_1,58.0,7.896766424179077
energy_4,59.0,8.88296389579773
perf_branches_5,60.0,10.638713359832764
weights_4,61.0,10.792082071304321
energy_2,62.0,10.877961993217468
energy_3,63.0,11.40691089630127
original,64.0,11.4319669008255
weights_5,65.0,11.573473930358887
energy_5,66.0,30.412893891334534
