item_name,rank_new_highs,new_highs
energy_3,1.0,0
weights_5,2.0,2
weights_4,2.0,2
weights_2,2.0,2
perf_cpu_clock_4,2.0,2
energy_1,2.0,2
weights_3,3.0,3
time_5,3.0,3
energy_5,3.0,3
perf_time_4,3.0,3
energy_4,3.0,3
perf_branches_5,4.0,4
perf_cycles_5,4.0,4
time_3,4.0,4
energy_2,4.0,4
perf_cache_misses_5,5.0,5
perf_task_clock_5,6.0,6
perf_branches_4,6.0,6
perf_faults_3,6.0,6
perf_cache_misses_3,6.0,6
perf_cpu_clock_1,7.0,7
time_4,7.0,7
perf_cpu_clock_3,7.0,7
perf_cache_misses_4,7.0,7
weights_1,7.0,7
perf_instructions_4,7.0,7
perf_cache_references_3,7.0,7
perf_cycles_4,7.0,7
perf_time_5,7.0,7
perf_cache_references_5,7.0,7
perf_cache_references_4,8.0,8
perf_branch_misses_3,8.0,8
perf_cpu_clock_2,8.0,8
perf_faults_4,8.0,8
perf_faults_5,8.0,8
perf_instructions_5,8.0,8
perf_branch_misses_5,8.0,8
perf_branch_misses_4,8.0,8
perf_faults_2,9.0,9
perf_branches_3,9.0,9
perf_instructions_3,9.0,9
perf_task_clock_4,10.0,10
perf_branches_2,10.0,10
time_2,10.0,10
perf_cache_misses_2,10.0,10
perf_cpu_clock_5,10.0,10
perf_time_1,10.0,10
perf_task_clock_3,10.0,10
perf_faults_1,10.0,10
perf_time_2,10.0,10
perf_cycles_3,10.0,10
perf_task_clock_2,11.0,11
perf_cache_misses_1,11.0,11
perf_branch_misses_2,11.0,11
perf_cycles_1,12.0,12
perf_instructions_2,12.0,12
perf_time_3,12.0,12
perf_branch_misses_1,13.0,13
perf_cache_references_1,13.0,13
perf_task_clock_1,14.0,14
perf_cycles_2,15.0,16
perf_cache_references_2,15.0,16
perf_instructions_1,15.0,16
time_1,16.0,17
perf_branches_1,17.0,18
