item_name_orig,mean_median_execution_time,rank
perf_cache_references,5.649365584300358,1.0
time,5.834908269900211,2.0
perf_cycles,6.080960875699384,3.0
perf_cache_misses,6.108952216099851,4.0
weights,6.207421885334043,5.0
energy,6.2094664328004,6.0
perf_time,6.287313212400022,7.0
perf_instructions,6.316745717200684,8.0
perf_branch_misses,6.351921310600483,9.0
original,6.363353022500007,10.0
perf_task_clock,6.391880589749803,11.0
perf_branches,6.4574813462002565,12.0
perf_cpu_clock,6.524501672299811,13.0
perf_faults,6.82217788329981,14.0
