item_name,rank_median_execution_time,median_execution_time
time_1,1.0,4.832658934000051
time_4,2.0,4.8465527390003444
perf_cycles_1,3.0,5.1809285809995345
perf_time_1,4.0,5.255372400499709
perf_instructions_2,5.0,5.704810457500571
perf_cycles_5,6.0,5.860427617000823
perf_instructions_4,7.0,6.212721308502296
time_5,8.0,6.333095721000518
original,9.0,6.363353022500007
perf_cycles_3,10.0,6.390439530998265
perf_cycles_4,11.0,6.39313072549885
perf_time_2,12.0,6.473386176999156
perf_time_3,13.0,6.514443874501012
perf_instructions_1,14.0,6.519356440000593
perf_instructions_5,15.0,6.554426853999757
time_3,16.0,6.57201704299996
perf_time_4,17.0,6.576320139000018
perf_cycles_2,18.0,6.579877923999447
time_2,19.0,6.590216912500182
perf_instructions_3,20.0,6.5924135260002
perf_time_5,21.0,6.6170434710002155
