item_name_orig,mean_median_execution_time,rank
weights,7.2750809452504654,1.0
original,7.296467304229736,2.0
energy,7.394932015699669,3.0
perf_task_clock,7.484974660800094,4.0
perf_branch_misses,7.487639927864075,5.0
perf_branches,7.491047763824463,6.0
perf_faults,7.492003416899752,7.0
time,7.504775285720825,8.0
perf_cpu_clock,7.505552625656128,9.0
perf_cycles,7.5061020135879515,10.0
perf_cache_misses,7.5092092752456665,11.0
perf_instructions,7.509955739974975,12.0
perf_time,7.515531969070435,13.0
perf_cache_references,7.521456092596054,14.0
