item_name,rank_median_execution_time,median_execution_time
weights_3,1.0,7.257601873001477
weights_2,2.0,7.26269225499891
weights_5,3.0,7.269229643001381
original,4.0,7.296467304229736
energy_5,5.0,7.298134818000108
energy_4,6.0,7.3107617370005755
weights_1,7.0,7.310800010000094
energy_3,8.0,7.355251190498166
perf_faults_3,9.0,7.4662597819997245
time_2,10.0,7.468539834022522
perf_branches_2,11.0,7.469691753387451
perf_branch_misses_3,12.0,7.473981261253357
perf_cpu_clock_2,13.0,7.474305629730225
perf_branches_4,14.0,7.4743651151657104
perf_cpu_clock_1,15.0,7.476578235626221
perf_cycles_2,16.0,7.476999402046204
perf_branch_misses_4,17.0,7.478408217430115
perf_faults_4,18.0,7.4796437104996585
perf_cache_misses_1,19.0,7.480002284049988
perf_task_clock_4,20.0,7.4808832889998484
perf_task_clock_1,21.0,7.481761054000003
perf_task_clock_2,22.0,7.482730835000211
time_5,23.0,7.485829472541809
perf_branch_misses_2,24.0,7.486435055732727
perf_branch_misses_5,25.0,7.486921310424805
perf_cache_references_1,26.0,7.487186908721924
perf_task_clock_3,27.0,7.487913407500173
perf_cycles_1,28.0,7.49076521396637
perf_task_clock_5,29.0,7.491584718500235
perf_time_4,30.0,7.492523908615112
perf_cache_misses_5,31.0,7.494213104248047
energy_1,32.0,7.495078563499192
perf_faults_5,33.0,7.496411728499879
perf_branches_1,34.0,7.4967440366744995
perf_cycles_3,35.0,7.497993588447571
perf_instructions_1,36.0,7.498286485671997
perf_instructions_5,37.0,7.500413417816162
perf_branches_5,38.0,7.502281546592712
perf_instructions_4,39.0,7.5041797161102295
time_3,40.0,7.504335045814514
perf_cpu_clock_4,41.0,7.504719376564026
perf_cache_references_5,42.0,7.505402684211731
perf_time_2,43.0,7.506164312362671
perf_faults_2,44.0,7.506962300999476
perf_cache_misses_3,45.0,7.508949875831604
perf_faults_1,46.0,7.510739562500021
perf_branches_3,47.0,7.512156367301941
perf_time_3,48.0,7.512371182441711
perf_branch_misses_1,49.0,7.51245379447937
time_4,50.0,7.515040278434753
energy_2,51.0,7.515433769500305
perf_instructions_3,52.0,7.516772031784058
perf_cpu_clock_3,53.0,7.519339084625244
perf_cycles_5,54.0,7.522164344787598
perf_time_1,55.0,7.526521682739258
perf_instructions_2,56.0,7.530127048492432
perf_cache_references_2,57.0,7.537309885025024
perf_time_5,58.0,7.54007875919342
perf_cycles_4,59.0,7.542587518692017
time_1,60.0,7.550131797790527
perf_cpu_clock_5,61.0,7.552820801734924
perf_cache_misses_2,62.0,7.553671836853027
perf_cache_references_4,63.0,7.555924892425537
