item_name,rank_new_highs,new_highs
time_1,1.0,0
perf_cpu_clock_1,1.0,0
perf_task_clock_1,1.0,0
weights_3,1.0,0
weights_2,1.0,0
perf_time_5,1.0,0
perf_faults_4,1.0,0
perf_cache_references_5,2.0,1
perf_cache_references_4,2.0,1
perf_cache_references_2,2.0,1
perf_cpu_clock_5,2.0,1
perf_branch_misses_2,2.0,1
perf_faults_3,2.0,1
perf_branches_5,2.0,1
time_4,2.0,1
perf_time_2,2.0,1
weights_5,2.0,1
time_5,2.0,1
energy_2,2.0,1
weights_1,3.0,2
perf_task_clock_5,3.0,2
perf_task_clock_4,3.0,2
perf_cache_references_1,3.0,2
perf_instructions_3,3.0,2
energy_1,3.0,2
perf_cache_misses_2,3.0,2
perf_branches_2,3.0,2
perf_branches_1,3.0,2
perf_faults_5,4.0,3
perf_branch_misses_5,4.0,3
perf_branch_misses_3,4.0,3
perf_faults_1,4.0,3
perf_branches_3,4.0,3
perf_cycles_2,4.0,3
perf_time_3,4.0,3
perf_time_4,4.0,3
perf_instructions_2,4.0,3
perf_branches_4,4.0,3
perf_cycles_4,4.0,3
energy_5,4.0,3
perf_cache_misses_5,4.0,3
perf_cpu_clock_3,5.0,4
energy_4,5.0,4
perf_branch_misses_4,5.0,4
perf_faults_2,5.0,4
perf_cache_misses_3,5.0,4
perf_instructions_5,5.0,4
perf_task_clock_3,5.0,4
perf_cycles_5,5.0,4
perf_cycles_1,6.0,5
perf_task_clock_2,6.0,5
perf_cpu_clock_2,6.0,5
perf_instructions_4,6.0,5
perf_cache_misses_1,6.0,5
perf_cpu_clock_4,6.0,5
perf_time_1,6.0,5
time_2,6.0,5
energy_3,6.0,5
perf_branch_misses_1,6.0,5
perf_instructions_1,7.0,6
time_3,7.0,6
perf_cycles_3,7.0,6
