item_name_orig,mean_median_execution_time,rank
perf_faults,0.0007293224334716797,1.0
perf_branch_misses,0.0007413387298583985,2.0
perf_branches,0.0008111476898193359,3.0
perf_time,0.000815892219543457,4.0
perf_cache_misses,0.0008304119110107422,5.0
perf_cache_references,0.0008697032928466797,6.0
time,0.0009303092956542969,7.0
perf_cpu_clock,0.0009462594985961914,8.0
perf_task_clock,0.0009575605392456055,9.0
perf_cycles,0.0009717941284179688,10.0
energy,0.0009814023971557618,11.0
weights,0.0010268688201904297,12.0
perf_instructions,0.0010362863540649414,13.0
original,0.07184350490570068,14.0
