item_name,rank_median_execution_time,median_execution_time
perf_cache_misses_2,1.0,0.0008170790999429301
perf_cache_references_3,2.0,0.0008300489498651586
perf_cpu_clock_1,3.0,0.0008303981001517968
perf_cache_misses_4,4.0,0.0008442479498626199
perf_cpu_clock_5,5.0,0.0008449847999145276
perf_cache_misses_3,6.0,0.0008509807499649469
perf_branches_4,7.0,0.000852447449869942
perf_cache_misses_1,8.0,0.0008540991999325343
perf_branch_misses_5,9.0,0.0008578637502068886
perf_cache_references_1,10.0,0.0008580977500969311
perf_branch_misses_3,11.0,0.0008614641501480946
perf_cpu_clock_4,12.0,0.0008642893000796903
perf_cache_references_5,13.0,0.0008729951499844901
perf_branch_misses_2,14.0,0.000876298750154092
perf_cache_references_4,15.0,0.000878428900250583
perf_cpu_clock_3,16.0,0.000879511500170338
perf_cpu_clock_2,17.0,0.0008842153998557478
perf_cache_misses_5,18.0,0.000903219600149896
perf_instructions_1,19.0,0.0009113842501392355
perf_task_clock_5,20.0,0.0009192589997837786
perf_branch_misses_4,21.0,0.0009240292500180658
perf_cache_references_2,22.0,0.0009291766498790821
perf_branches_2,23.0,0.0009380989999044686
perf_task_clock_4,24.0,0.000946836400180473
perf_cycles_5,25.0,0.0009516834499663674
perf_time_4,26.0,0.000951959300073213
perf_task_clock_3,27.0,0.0009530732997518499
perf_branches_1,28.0,0.0009768477499164873
perf_branch_misses_1,29.0,0.0009842580999247729
perf_instructions_5,30.0,0.0009889934000966605
perf_cycles_4,31.0,0.0009942106498783687
perf_task_clock_2,32.0,0.0010183273498114431
perf_branches_3,33.0,0.0010195530499913729
perf_branches_5,34.0,0.001019951199850766
weights_4,35.0,0.001025136950192973
perf_cycles_1,36.0,0.0010358544001064728
perf_instructions_4,37.0,0.001040425549945212
perf_task_clock_1,38.0,0.0010543312502704794
perf_instructions_2,39.0,0.0010655374997440958
perf_cycles_3,40.0,0.0011071078497479903
time_2,41.0,0.0011638899501122068
perf_instructions_3,42.0,0.00117419529997278
perf_cycles_2,43.0,0.0011929166001209523
perf_time_5,44.0,0.0011992234001809265
time_5,45.0,0.0012000650000118184
energy_5,46.0,0.0012164709998614854
time_3,47.0,0.001218709499880788
perf_time_2,48.0,0.0012249499501194804
perf_time_3,49.0,0.0012254877499799477
time_4,50.0,0.0012663910998526261
perf_time_1,51.0,0.0012692302003415533
energy_4,52.0,0.0013587404999270802
energy_3,53.0,0.0014133400498394621
energy_2,54.0,0.001571142599641462
energy_1,55.0,0.0018466265999450115
time_1,56.0,0.0019187253001291538
weights_1,57.0,0.001970311050172313
weights_2,58.0,0.0019735935999051434
weights_3,59.0,0.002002892650125432
perf_faults_4,60.0,0.0020159637002507224
weights_5,61.0,0.0707666819998849
original,62.0,0.07123113349989581
perf_faults_1,63.0,0.0718833856000856
perf_faults_5,64.0,0.07189010564979981
perf_faults_3,65.0,0.07193568215006962
perf_faults_2,66.0,0.14045833540003513
