item_name,rank_new_highs,new_highs
perf_faults_1,1.0,1
perf_task_clock_1,2.0,2
perf_faults_2,2.0,2
perf_faults_3,2.0,2
perf_time_5,2.0,2
perf_faults_4,2.0,2
time_2,3.0,3
perf_time_3,3.0,3
perf_cache_references_4,3.0,3
perf_cycles_1,3.0,3
time_1,4.0,4
perf_task_clock_4,4.0,4
perf_cpu_clock_4,4.0,4
perf_cycles_3,4.0,4
perf_faults_5,4.0,4
weights_4,4.0,4
weights_5,4.0,4
perf_instructions_4,5.0,5
time_3,5.0,5
perf_task_clock_2,5.0,5
perf_branches_5,5.0,5
perf_branches_2,5.0,5
energy_2,5.0,5
perf_cpu_clock_2,5.0,5
weights_2,6.0,6
perf_branch_misses_3,6.0,6
perf_cache_misses_3,6.0,6
perf_instructions_5,6.0,6
time_4,6.0,6
perf_cache_references_5,7.0,7
weights_1,7.0,7
perf_task_clock_3,7.0,7
perf_cycles_5,7.0,7
energy_4,7.0,7
energy_1,7.0,7
time_5,7.0,7
perf_cache_references_3,7.0,7
perf_cache_misses_1,7.0,7
perf_time_4,7.0,7
perf_task_clock_5,8.0,8
perf_cpu_clock_5,8.0,8
energy_3,8.0,8
energy_5,8.0,8
perf_cache_references_2,8.0,8
perf_branch_misses_5,8.0,8
perf_branch_misses_4,8.0,8
perf_time_1,8.0,8
perf_time_2,8.0,8
perf_instructions_2,8.0,8
perf_cycles_4,8.0,8
perf_cpu_clock_3,8.0,8
weights_3,9.0,9
perf_cpu_clock_1,9.0,9
perf_cache_misses_5,9.0,9
perf_branches_1,9.0,9
perf_branch_misses_2,9.0,9
perf_cache_misses_2,9.0,9
perf_branches_3,9.0,9
perf_cache_misses_4,10.0,10
perf_instructions_3,10.0,10
perf_branches_4,10.0,10
perf_cache_references_1,11.0,11
perf_cycles_2,11.0,11
perf_branch_misses_1,11.0,11
perf_instructions_1,12.0,12
