item_name_orig,mean_median_execution_time,rank
perf_branch_misses,0.0010713196000142488,1.0
weights,0.0011955628602299839,2.0
perf_cache_misses,0.0012160933099221438,3.0
perf_task_clock,0.0012838058602937963,4.0
perf_cpu_clock,0.0013161689300613944,5.0
perf_cycles,0.001329989520017989,6.0
time,0.0013341103299171664,7.0
perf_branches,0.001360871859942563,8.0
energy,0.0013652117100718896,9.0
perf_instructions,0.0014103590900776907,10.0
perf_time,0.0014287976098421495,11.0
perf_cache_references,0.0015132053699926473,12.0
perf_faults,0.057900283749913795,13.0
original,0.07171713540010387,14.0
