item_name_orig,mean_median_execution_time,rank
perf_cache_references,0.011819243431091309,1.0
perf_cpu_clock,0.011832165718078613,2.0
perf_faults,0.014347386360168458,3.0
perf_instructions,0.014933633804321288,4.0
perf_branch_misses,0.015486717224121094,5.0
perf_time,0.015658116340637206,6.0
perf_task_clock,0.015749144554138183,7.0
weights,0.01582784652709961,8.0
time,0.01662273406982422,9.0
perf_cache_misses,0.017191696166992187,10.0
perf_branches,0.017626428604125978,11.0
perf_cycles,0.01765408515930176,12.0
energy,0.018424010276794432,13.0
original,0.09895801544189453,14.0
