Key,Median_Largest_Improvement_Ratio
weights,0.013157894736842105
perf_cpu_clock,0.017241379310344827
perf_task_clock,0.04
perf_cache_misses,0.04318936877076412
perf_faults,0.04797047970479705
perf_branch_misses,0.06498194945848375
perf_cache_references,0.07083333333333333
perf_instructions,0.07228915662650602
perf_time,0.07539682539682539
perf_branches,0.07659574468085106
time,0.07751937984496124
perf_cycles,0.0782608695652174
perf_L1_dcache_loads,0.09130434782608696
energy,0.1386760323541933
