item_name_orig,mean_median_execution_time,rank
perf_cache_references,2.215537347600912,1.0
time,2.2328894775972,2.0
perf_faults,2.2589004759007367,3.0
energy,2.2621538947569206,4.0
perf_cycles,2.277693115302827,5.0
perf_branch_misses,2.3070436925947435,6.0
perf_instructions,2.32133538480266,7.0
perf_branches,2.3252043169981333,8.0
perf_L1_dcache_loads,2.354915328003699,9.0
perf_cache_misses,2.364688900101464,10.0
perf_time,2.373125171504216,11.0
weights,3.084652043917837,12.0
perf_task_clock,6.258856397249474,13.0
perf_cpu_clock,7.302040711906739,14.0
original,13.641921658505453,15.0
