item_name,rank_median_execution_time,median_execution_time
perf_cache_misses_3,1.0,1.9291517959936755
time_2,2.0,1.9538236755033722
perf_faults_2,3.0,2.0059336709964555
perf_L1_dcache_loads_3,4.0,2.027931852528127
perf_cache_references_2,5.0,2.0380478735023644
perf_L1_dcache_loads_4,6.0,2.0844024585094303
energy_4,7.0,2.0885278659989126
perf_cache_references_5,8.0,2.094398271496175
perf_cycles_3,9.0,2.2294978285062825
perf_cache_references_1,10.0,2.2311236874957103
perf_cycles_4,11.0,2.2362647440022556
perf_branch_misses_1,12.0,2.236944180491264
perf_cycles_2,13.0,2.2385877195047215
perf_instructions_2,14.0,2.2386383334960556
time_5,15.0,2.241067277500406
energy_5,16.0,2.241397901030723
time_3,17.0,2.241906831986853
perf_faults_3,18.0,2.242442246497376
perf_branches_4,19.0,2.24409653749899
perf_branch_misses_4,20.0,2.2465565694874385
perf_L1_dcache_loads_5,21.0,2.2502124034799635
perf_faults_1,22.0,2.2526099124952452
perf_faults_4,23.0,2.254626127498341
weights_5,24.0,2.265618188510416
weights_3,25.0,2.2799442109826487
perf_L1_dcache_loads_2,26.0,2.3290737729985267
perf_cycles_5,27.0,2.329733162507182
perf_branches_3,28.0,2.3318940475001
perf_branch_misses_5,29.0,2.334476745003485
perf_instructions_1,30.0,2.334890220008674
perf_branches_5,31.0,2.335162004485028
perf_instructions_5,32.0,2.338400010994519
perf_instructions_4,33.0,2.3384777090104762
perf_time_2,34.0,2.3398748195177177
perf_branches_2,35.0,2.341431597000337
time_1,36.0,2.3415237345034257
perf_time_1,37.0,2.341889192495728
perf_time_3,38.0,2.3419520835013827
perf_cache_references_4,39.0,2.344789414011757
energy_3,40.0,2.3462078944721725
perf_time_5,41.0,2.346402342504007
perf_cache_misses_4,42.0,2.3464419415104203
perf_cache_misses_5,43.0,2.347789035498863
perf_branch_misses_2,44.0,2.34812625250197
perf_cycles_1,45.0,2.3543821219936945
perf_instructions_3,46.0,2.356270650503575
perf_cache_misses_1,47.0,2.360131525507313
perf_branch_misses_3,48.0,2.369114715489559
perf_cache_references_3,49.0,2.3693274914985523
energy_2,50.0,2.3724819175258745
perf_branches_1,51.0,2.373437398506212
time_4,52.0,2.386125868491945
perf_time_4,53.0,2.495507419502246
perf_faults_5,54.0,2.538890422016266
perf_cpu_clock_5,55.0,2.5816909615095938
perf_cpu_clock_4,56.0,2.5971335195208667
weights_1,57.0,2.760974343516864
perf_cache_misses_2,58.0,2.839930201997049
perf_L1_dcache_loads_1,59.0,3.0829561525024474
perf_task_clock_3,60.0,3.1152496014983626
weights_1,61.0,3.2205608939984813
perf_task_clock_2,62.0,3.231833928002743
weights_2,63.0,3.36478434651508
weights_4,64.0,4.6160302799835335
perf_task_clock_5,65.0,5.815796922004665
perf_cpu_clock_3,66.0,8.963668034994043
perf_cpu_clock_2,67.0,9.380840581507073
perf_task_clock_1,68.0,12.872545137492125
perf_cpu_clock_1,69.0,12.986870462002116
original,70.0,13.641921658505453
