item_name,rank_new_highs,new_highs
perf_cpu_clock_1,1.0,3
perf_task_clock_5,1.0,3
weights_5,1.0,3
perf_cache_references_4,2.0,4
perf_cpu_clock_3,2.0,4
time_5,2.0,4
weights_3,2.0,4
perf_task_clock_1,2.0,4
perf_cache_references_1,3.0,5
perf_cycles_4,3.0,5
perf_task_clock_2,3.0,5
perf_L1_dcache_loads_5,3.0,5
perf_cpu_clock_2,3.0,5
perf_instructions_3,4.0,6
perf_cpu_clock_5,4.0,6
perf_time_2,4.0,6
perf_task_clock_3,4.0,6
perf_cycles_3,4.0,6
perf_cpu_clock_4,4.0,6
time_3,4.0,6
perf_cache_misses_4,4.0,6
perf_time_5,4.0,6
weights_4,4.0,6
perf_cache_misses_5,5.0,7
perf_branch_misses_5,5.0,7
weights_1,5.0,7
weights_2,5.0,7
energy_5,5.0,7
perf_time_1,5.0,7
time_4,5.0,7
perf_cache_misses_1,6.0,8
perf_faults_5,6.0,8
perf_cache_misses_3,6.0,8
perf_cache_references_2,6.0,8
perf_cycles_1,6.0,8
energy_3,6.0,8
perf_cache_references_5,6.0,8
weights_1,6.0,8
perf_L1_dcache_loads_2,7.0,9
perf_branches_5,7.0,9
perf_cycles_5,7.0,9
perf_time_3,7.0,9
perf_instructions_2,7.0,9
perf_branches_4,7.0,9
perf_instructions_5,7.0,9
perf_cache_references_3,7.0,9
perf_branches_1,7.0,9
perf_time_4,8.0,10
perf_faults_1,8.0,10
perf_branch_misses_3,8.0,10
time_1,8.0,10
perf_cache_misses_2,8.0,10
perf_branch_misses_1,8.0,10
perf_faults_4,9.0,11
perf_branch_misses_2,9.0,11
perf_branch_misses_4,9.0,11
energy_4,9.0,11
perf_instructions_4,9.0,11
perf_L1_dcache_loads_4,9.0,11
perf_branches_3,10.0,12
perf_L1_dcache_loads_3,11.0,13
perf_instructions_1,11.0,13
energy_2,11.0,13
perf_branches_2,12.0,14
time_2,12.0,14
perf_faults_3,12.0,14
perf_cycles_2,13.0,16
perf_faults_2,13.0,16
perf_L1_dcache_loads_1,14.0,18
