item_name,retry_mean,retry_median,retry_iqr,retry_std_dev
energy,3.0,3.0,1.0,1.0954451150103321
perf_L1_dcache_loads,2.6363636363636362,2.0,2.5,1.5666989036012806
perf_branch_misses,2.6363636363636362,2.0,2.0,1.5015143870590966
perf_branches,2.1818181818181817,2.0,1.5,1.5374122295716148
perf_cache_misses,3.0,3.0,4.0,1.7888543819998317
perf_cache_references,2.1818181818181817,2.0,1.5,1.3280197150781925
perf_cpu_clock,3.4545454545454546,3.0,2.5,1.4396969378057567
perf_cycles,2.4545454545454546,3.0,2.0,1.3684762594679063
perf_faults,2.090909090909091,2.0,1.5,1.2210278829367867
perf_instructions,2.5454545454545454,2.0,3.0,1.507556722888818
perf_task_clock,3.6363636363636362,4.0,1.5,1.2862913567871992
perf_time,2.8181818181818183,3.0,2.5,1.5374122295716146
time,2.727272727272727,2.0,3.5,1.7372915179041826
weights,2.272727272727273,2.0,2.0,1.348399724926484
