item_name,total_decreases,average_decrease_percentage_per_step,proportion_of_decreases,std_deviation_of_decreases,proportion_of_large_decreases
energy,6.0,0.0291299152615711,0.0382775119617224,23519600.96426775,0.25
perf_L1_dcache_loads,8.0,0.0342928906926087,0.0253164556962025,1666775240.611174,0.2
perf_branch_misses,8.0,0.0485975844448692,0.0214592274678111,19187285.686973672,0.2
perf_branches,8.0,0.0428571967208967,0.0254237288135593,478007663.16119176,0.2
perf_cache_misses,6.0,0.0323574586982976,0.0231788079470198,214390.59980876875,0.25
perf_cache_references,7.0,0.0571062111828136,0.02088772845953,29175022.076315444,0.25
perf_cpu_clock,4.0,0.2336548767416934,0.0149253731343283,6.195876765147035,0.25
perf_cycles,8.0,0.0496779641648467,0.0231213872832369,4996998081.2405205,0.1666666666666666
perf_faults,7.0,0.0129194198708547,0.0255474452554744,190.9904591039825,0.25
perf_instructions,7.0,0.0384343634044184,0.029585798816568,2034523015.6125617,0.2
perf_task_clock,5.0,0.1791277258566978,0.0153374233128834,4.203792930200059,0.25
perf_time,7.0,0.0439162688113476,0.0253807106598984,0.9764156182323308,0.25
time,7.0,0.0563611662509177,0.022875816993464,1.19664372610323,0.2222222222222222
weights,5.0,0.0792088780727903,0.0328947368421052,12716358.52586748,0.25
