total_decreases,proportion_of_decreases,average_decrease_per_step,average_decrease_percentage_per_step,std_deviation_of_decreases,median_decrease,iqr_decrease,number_of_large_decreases,proportion_of_large_decreases,number_of_retries,item_name
4,0.010582010582010581,46566376.0,0.11724411240044337,54059833.2396809,9165572.0,57745850.5,1,0.3333333333333333,2,energy
6,0.05172413793103448,30869707.800000004,0.07418741952120858,53167397.91297503,6391222.199999988,8305283.400000006,1,0.2,5,energy
10,0.058823529411764705,756260101.4444444,0.04413115806531553,1845309356.3407624,14501915.33333397,369011600.0000019,1,0.1111111111111111,3,perf_branches
4,0.044444444444444446,4059601559.2478004,0.1306097162176485,4758904866.693708,872942945.0067978,5133679815.938496,1,0.3333333333333333,5,weights
10,0.015600624024960999,1425.3333333333333,0.007524883501569737,1495.5947163438216,1281.0,2313.0,3,0.3333333333333333,1,perf_faults
9,0.06428571428571428,1368.458333249997,0.007218089464059148,1821.047050284539,166.16666649999388,2467.000000250009,3,0.375,3,perf_faults
8,0.05405405405405406,1594.75,0.00840239835192337,1936.0957445702052,261.0,2719.125,2,0.2857142857142857,4,perf_faults
5,0.03355704697986577,2690.9500000000044,0.014207221267195778,1701.7926276429807,2980.9000000000087,1989.0499999999956,1,0.25,5,perf_faults
6,0.011278195488721804,10.6,0.19999999999999998,7.08801805866774,7.0,12.0,2,0.4,1,perf_cpu_clock
3,0.0079155672823219,12.75,0.3923076923076923,10.75,12.75,10.75,1,0.5,2,perf_cpu_clock
3,0.01818181818181818,20.333332999999996,0.29326922737148664,5.999999999999998,20.333332999999996,5.9999999999999964,0,0.0,3,perf_cpu_clock
3,0.018633540372670808,12.25,0.2916666666666667,0.25,12.25,0.25,0,0.0,4,perf_cpu_clock
5,0.0390625,8.5,0.1539855072463768,7.147726911403374,5.700000000000001,8.500000000000002,1,0.25,5,perf_cpu_clock
2,0.002805049088359046,27.0,1.0,0.0,27.0,0.0,0,0.0,1,perf_task_clock
5,0.015337423312883436,6.75,0.1588235294117647,6.4468984791138135,4.0,7.0,1,0.25,2,perf_task_clock
5,0.023923444976076555,10.16666675,0.2089041098705198,10.253725828259267,6.8333335,12.333333750000001,1,0.25,3,perf_task_clock
4,0.02702702702702703,10.5,0.22826086956521738,7.161820066621798,13.0,8.5,1,0.3333333333333333,4,perf_task_clock
4,0.05714285714285714,6.000000000000001,0.12448132780082989,4.808326112068525,2.6000000000000014,5.100000000000003,1,0.3333333333333333,5,perf_task_clock
14,0.024734982332155476,0.38296923076923084,0.0324486948111157,1.1411172051881138,0.011099999999999888,0.04480000000000128,1,0.07692307692307693,1,time
5,0.013054830287206266,1.1232750000000002,0.0989111866436547,1.6134058965043485,0.2892000000000001,0.9768750000000008,1,0.25,2,time
6,0.028037383177570093,0.8958599999999999,0.07889216679142265,1.5068787324798232,0.26449999999999996,0.2713000000000001,1,0.2,3,time
5,0.034013605442176874,1.1098,0.0979575264356453,1.6061679270860814,0.2764000000000002,1.0466000000000006,1,0.25,4,time
7,0.06140350877192982,0.7382166666666667,0.06520599813331214,1.4006101984690662,0.13159999999999972,0.2695000000000003,1,0.16666666666666666,5,time
15,0.030364372469635626,0.3586666428571429,0.03004715528737896,1.1190009997159847,0.0135234999999998,0.018534249999999863,1,0.07142857142857142,1,perf_time
10,0.03067484662576687,0.5029364444444444,0.04391626881134762,1.2178558989659847,0.019471000000000238,0.23906000000000027,1,0.1111111111111111,3,perf_time
7,0.029914529914529916,0.7467576666666668,0.06537402370395012,1.4170451415132206,0.13891849999999994,0.2595234999999998,1,0.16666666666666666,4,perf_time
4,0.0380952380952381,1.4814206666666667,0.12968699740679232,1.7046863983404363,0.2908210000000002,1.8154305000000002,1,0.3333333333333333,5,perf_time
8,0.012269938650306749,2659389259.857143,0.059792581292354194,5635422773.621427,83338348.0,1001330080.5,1,0.14285714285714285,1,perf_cycles
8,0.04,2410475030.285714,0.056293545082540246,4996998081.2405205,63462634.0,1043595352.75,1,0.14285714285714285,2,perf_cycles
7,0.03333333333333333,2821083665.555556,0.06585982068016327,5333193956.817823,551511342.666666,989182276.3333321,1,0.16666666666666666,3,perf_cycles
7,0.06481481481481481,2805650478.3666663,0.06556567456357945,5309670466.680857,534538445.8999996,992968596.3000011,1,0.16666666666666666,5,perf_cycles
15,0.02895752895752896,13187197.92857143,0.028641569406240266,37968424.48539281,1386249.0,4147724.0,1,0.07142857142857142,1,perf_cache_references
6,0.015544041450777202,35239989.8,0.07713421217374733,54339404.33206368,10622079.5,9242519.0,1,0.2,2,perf_cache_references
11,0.024553571428571428,0.4666602,0.03981556831908684,1.170631623521405,0.021436499999999636,0.1963445000000008,1,0.1,2,perf_time
7,0.04861111111111111,2848335023.5833335,0.06542008286925495,5377285276.413648,525701112.875,895712708.875,1,0.16666666666666666,4,perf_cycles
7,0.040229885057471264,29029777.666666668,0.06334198698370162,51432409.025471464,7098204.166666985,11729090.25,1,0.16666666666666666,3,perf_cache_references
6,0.04477611940298507,35512701.6,0.07714631549863206,55074211.1148668,7979168.25,23985949.25,1,0.2,4,perf_cache_references
7,0.05982905982905983,29155371.366666663,0.06328346655924746,52172666.315546066,6107872.699999988,11662338.850000039,1,0.16666666666666666,5,perf_cache_references
12,0.02702702702702703,2596116.1818181816,0.04986373714478155,7067589.691954238,240958.0,600266.0,1,0.09090909090909091,1,perf_cache_misses
4,0.009216589861751152,3091882.6666666665,0.0925278132393073,3410349.5231129494,1421759.0,3918385.0,1,0.3333333333333333,2,perf_cache_misses
5,0.024875621890547265,2154203.83333325,0.06581614326804129,2859606.3861833797,716902.0,2410431.33333325,1,0.25,3,perf_cache_misses
5,0.03333333333333333,2044706.875,0.062283462073098844,2828425.2029660014,532972.875,2057796.875,1,0.25,4,perf_cache_misses
6,0.037267080745341616,1579328.9200000004,0.04816151942801277,2785389.224804072,139720.0,559655.200000003,1,0.2,5,perf_cache_misses
13,0.020155038759689922,5737150.333333333,0.037901244940582834,14806592.986768369,257072.0,2173860.5,1,0.08333333333333333,1,perf_branch_misses
6,0.013363028953229399,11688119.0,0.07814056889271535,20474144.909601737,1422529.0,4264359.5,1,0.2,2,perf_branch_misses
7,0.03365384615384615,9728207.666666666,0.06504752340730875,19187285.686973672,855761.8333339989,3404239.249999501,1,0.16666666666666666,3,perf_branch_misses
8,0.04819277108433735,8406659.92857143,0.056033412959141604,18231735.733965512,1402222.5,1980671.125,1,0.14285714285714285,4,perf_branch_misses
5,0.042735042735042736,13529033.100000001,0.0904830070887287,22568284.20969539,702007.1999999955,14019339.600000009,1,0.25,5,perf_branch_misses
8,0.02030456852791878,29571651.85714286,0.06699288329779785,55870192.53301364,4981509.0,10183914.0,1,0.14285714285714285,1,energy
9,0.04128440366972477,20362966.958333377,0.049256695849659526,42876391.13326964,4291749.999999985,4424883.249999784,1,0.125,3,energy
10,0.05555555555555555,18722898.194444444,0.044298567967703914,44598455.96773412,1413016.75,5726537.0,1,0.1111111111111111,4,energy
10,0.017605633802816902,3478091405.3333335,0.04459781922342382,8347706739.800026,5517184.0,1779619014.0,1,0.1111111111111111,1,perf_instructions
7,0.021341463414634148,5214079952.416667,0.06687061381405986,9767170586.823359,894949882.5,2361423547.5,1,0.16666666666666666,2,perf_instructions
6,0.031578947368421054,6257362782.8,0.08024877717932284,10394203312.778173,1787637410.75,2545904269.75,1,0.2,4,perf_instructions
9,0.043689320388349516,3910442925.916667,0.050151693313102846,8755552040.60814,1354567.3333320618,1977198407.9166698,1,0.125,3,perf_instructions
7,0.042682926829268296,5213836277.966666,0.0668675284512091,9744768710.933018,1272931384.7999992,1596542655.1499996,1,0.16666666666666666,5,perf_instructions
8,0.014234875444839857,1097139394.2857144,0.06401389158376636,2007994695.1425457,383525957.0,666529007.0,1,0.14285714285714285,1,perf_branches
10,0.0423728813559322,756304553.2222222,0.044132833964740895,1847302096.7336335,162300.5,383463901.5,1,0.1111111111111111,2,perf_branches
9,0.04918032786885246,850724582.84375,0.04964223076530773,1938643236.1496751,475870.25,403162144.3125,1,0.125,4,perf_branches
7,0.07526881720430108,1134240713.6333332,0.06618712460077629,2165743880.12582,191620670.1999998,443111745.6000004,1,0.16666666666666666,5,perf_branches
13,0.026262626262626262,1060871781.7192501,0.03409685712055285,2834072951.009671,210465098.24350166,310069748.13700104,1,0.08333333333333333,1,weights
5,0.012345679012345678,3172860919.9260006,0.10084376775972015,4439308503.133135,723234900.158001,3099876207.411995,1,0.25,2,weights
11,0.05314009661835749,1260597390.9145668,0.04009020484909524,3062304343.59221,212299761.4541664,297575592.4485836,1,0.1,3,weights
8,0.05333333333333334,1825062864.9639995,0.0572992908436421,3745602697.519745,354135510.8727493,382872418.30337715,1,0.14285714285714285,4,weights
13,0.033766233766233764,776498243.4166666,0.03429289069260879,2199441755.3282475,1878762.0,245406096.75,1,0.08333333333333333,1,perf_L1_dcache_loads
9,0.022727272727272728,1254845616.1875,0.05536499516512135,2591243927.2308145,292621371.5,613824555.75,1,0.125,2,perf_L1_dcache_loads
9,0.038135593220338986,1254596664.0416667,0.05535294519498229,2592713320.8186707,267939164.66666698,651106902.7500005,1,0.125,3,perf_L1_dcache_loads
13,0.08387096774193549,765463649.8333334,0.03377374398281523,2208977758.0659456,251309.375,171312859.5,1,0.08333333333333333,4,perf_L1_dcache_loads
7,0.04666666666666667,1530870192.033333,0.06754479110041747,2931699497.262407,268413008.5,572795872.1499991,1,0.16666666666666666,5,perf_L1_dcache_loads
