item_name,rank_median_execution_time,median_execution_time
perf_faults_1,1.0,6.548291495069861
perf_cache_misses_1,2.0,6.555251545039937
energy_1,3.0,6.564399776048958
perf_branch_misses_1,4.0,6.579022504505701
perf_branches_1,5.0,6.610070075956173
perf_L1_dcache_loads_2,6.0,6.615115189459175
perf_L1_dcache_loads_3,7.0,6.631005135481246
perf_cache_references_1,8.0,6.770577012008289
time_4,9.0,6.8816904300038
time_1,10.0,6.882866971514886
perf_time_4,11.0,6.886887791479239
perf_cycles_3,12.0,6.88752765848767
perf_cycles_1,13.0,6.889296492008725
perf_time_3,14.0,6.89073144851136
time_2,15.0,6.895662053502747
perf_cache_references_2,16.0,6.896307934977813
perf_cycles_2,17.0,6.90048930697958
perf_cycles_5,18.0,6.903258683014428
time_5,19.0,6.9050444590102416
perf_time_5,20.0,6.915068972972222
time_3,21.0,6.915722204998019
perf_time_1,22.0,6.926259942003526
perf_L1_dcache_loads_1,23.0,6.985657953424379
perf_branches_3,24.0,7.021260934998281
perf_faults_4,25.0,7.026042091078125
perf_faults_3,26.0,7.0268985035363585
weights_5,27.0,7.039194390526973
perf_cache_references_3,28.0,7.04259040846955
perf_cache_references_4,29.0,7.042612041463144
perf_cache_misses_3,30.0,7.048796801944263
perf_faults_5,31.0,7.048876163549721
perf_cache_misses_4,32.0,7.05013056693133
perf_cycles_4,33.0,7.051770515972748
perf_cache_references_5,34.0,7.053729961044155
perf_instructions_1,35.0,7.055571809061803
perf_branch_misses_3,36.0,7.058898447081447
perf_branch_misses_4,37.0,7.060311456094496
perf_time_2,38.0,7.062172198086046
perf_cache_misses_2,39.0,7.062472371500917
perf_instructions_4,40.0,7.062525819987059
perf_instructions_3,41.0,7.063981260638684
perf_branches_2,42.0,7.068561572697945
energy_4,43.0,7.071045138989575
perf_instructions_5,44.0,7.082692915922962
weights_3,45.0,7.084150608512573
perf_branch_misses_2,46.0,7.089921503444202
perf_instructions_2,47.0,7.090133002027869
perf_branches_4,48.0,7.096354993991554
weights_2,49.0,7.098651067004539
perf_branches_5,50.0,7.099142786115408
energy_3,51.0,7.099239146453328
perf_L1_dcache_loads_4,52.0,7.099506877595559
perf_L1_dcache_loads_5,53.0,7.10956765699666
weights_4,54.0,7.115980844013393
weights_1,55.0,7.118898069486022
perf_faults_2,56.0,7.1249005805002525
energy_5,57.0,7.318272122065537
energy_2,58.0,7.323423342546448
perf_branch_misses_5,59.0,7.364684639615007
perf_cache_misses_5,60.0,7.375648191431537
perf_cpu_clock_5,61.0,11.26748630090151
perf_task_clock_2,62.0,11.269321988918819
original,63.0,11.330480430508032
perf_cpu_clock_4,64.0,11.530482727452181
perf_cpu_clock_3,65.0,11.543886554427445
perf_task_clock_1,66.0,11.554498493438587
perf_cpu_clock_1,67.0,11.557818303117529
perf_task_clock_3,68.0,11.559621346415952
perf_cpu_clock_2,69.0,11.582029880955815
perf_task_clock_5,70.0,14.13251757947728
perf_task_clock_4,71.0,21.47613774659112
