total_decreases,proportion_of_decreases,average_decrease_per_step,average_decrease_percentage_per_step,std_deviation_of_decreases,median_decrease,iqr_decrease,number_of_large_decreases,proportion_of_large_decreases,number_of_retries,item_name
4,0.01593625498007968,7394416.166666667,0.04276336490401745,5664748.886465965,5521832.0,6745675.75,1,0.3333333333333333,2,energy
7,0.06086956521739131,4421426.699999998,0.024852311558985818,5577739.751541356,1073415.599999994,6378853.200000018,2,0.3333333333333333,5,energy
6,0.024,68208888.9333332,0.025846675473264042,100433254.22937417,134836.66666603088,81924888.33333397,1,0.2,3,perf_branches
5,0.010660980810234541,5299637.5751,0.20809220521827915,2326080.3179176543,5691068.382500002,2339160.738500002,1,0.25,5,weights
6,0.012958963282937365,202.2,0.0302785265049416,159.0841286866795,245.0,305.0,2,0.4,1,perf_faults
8,0.02622950819672131,85.33333342857155,0.013134941009367865,83.7596713127069,57.666667000000416,134.5,3,0.42857142857142855,3,perf_faults
7,0.04487179487179487,60.583333333333336,0.009115758852442573,107.41737780990354,7.125,35.8125,1,0.16666666666666666,4,perf_faults
6,0.037037037037037035,119.71999999999989,0.017970039926750905,106.0818250220085,116.39999999999964,109.0,1,0.2,5,perf_faults
5,0.005235602094240838,22.75,0.25,9.60143218483576,24.0,16.25,0,0.0,1,perf_cpu_clock
4,0.012084592145015106,13.166666666666666,0.2958801498127341,8.339997335464536,17.5,9.5,1,0.3333333333333333,2,perf_cpu_clock
6,0.0111731843575419,4.6666668,0.1272727297520661,3.515046748543264,3.0,4.666666000000006,1,0.2,3,perf_cpu_clock
2,0.013888888888888888,10.25,0.3761467889908257,0.0,10.25,0.0,0,0.0,4,perf_cpu_clock
5,0.02717391304347826,7.4,0.16371681415929204,3.7443290453698115,7.900000000000002,6.299999999999999,1,0.25,5,perf_cpu_clock
6,0.009375,4.2,0.2,3.1874754901018454,3.0,7.0,2,0.4,1,perf_task_clock
4,0.011204481792717087,16.666666666666668,0.2923976608187135,6.8839588093544615,20.5,7.75,0,0.0,2,perf_task_clock
4,0.011049723756906077,12.444444333333331,0.24888888666666664,8.399000935590468,17.0,9.500000500000002,1,0.3333333333333333,3,perf_task_clock
9,0.04326923076923077,7.59375,0.11005434782608696,6.5215238585395054,4.625,10.375,2,0.25,4,perf_task_clock
3,0.014150943396226415,16.5,0.3160919540229885,15.5,16.5,15.5,1,0.5,5,perf_task_clock
15,0.04398826979472141,0.21340714285714285,0.04233176816637432,0.3686606481853034,0.04410000000000025,0.13134999999999908,3,0.21428571428571427,1,time
10,0.035211267605633804,0.08282222222222223,0.016208822870662117,0.11215548510664207,0.025900000000000034,0.058400000000000674,2,0.2222222222222222,2,time
