item_name_orig,mean_median_execution_time,rank
perf_cycles,3.1297791803983275,1.0
perf_branch_misses,3.2893331354134716,2.0
perf_branches,3.47374563239282,3.0
time,3.521387477798271,4.0
perf_instructions,3.9611885820049793,5.0
weights,4.283104350313079,6.0
perf_time,4.331564659811557,7.0
energy,4.405623014422599,8.0
perf_cache_references,4.411932236998109,9.0
perf_L1_dcache_loads,4.462977668410167,10.0
perf_cache_misses,4.626746288407594,11.0
perf_task_clock,4.876145302015357,12.0
perf_faults,4.998378556943498,13.0
original,5.054473908006912,14.0
perf_cpu_clock,5.695571540808305,15.0
