item_name,rank_median_execution_time,median_execution_time
perf_cycles_1,1.0,1.3120224275044166
perf_cycles_5,2.0,1.3194503000122495
perf_branch_misses_4,3.0,1.3361580120399594
perf_branches_1,4.0,1.822759083006531
perf_instructions_1,5.0,1.993810746469535
time_1,6.0,2.048438637488289
perf_branches_2,7.0,2.0940383020206355
time_4,8.0,2.16806943800475
weights_3,9.0,2.2638346044695936
perf_branch_misses_5,10.0,2.3357548724743538
perf_time_1,11.0,3.8485664854961215
perf_branch_misses_1,12.0,3.8733861175132915
energy_3,13.0,4.052760398539249
perf_cycles_4,14.0,4.085400638461579
perf_cache_references_5,15.0,4.110909106966574
perf_time_4,16.0,4.407068492495455
perf_time_5,17.0,4.417375343502499
perf_L1_dcache_loads_1,18.0,4.4306546010193415
perf_instructions_4,19.0,4.433985194540583
time_3,20.0,4.435961011011386
perf_L1_dcache_loads_4,21.0,4.437319328542799
perf_instructions_3,22.0,4.437383868498728
perf_cache_references_1,23.0,4.443616210992332
perf_branch_misses_3,24.0,4.446720162522979
energy_4,25.0,4.452895122463815
perf_L1_dcache_loads_2,26.0,4.452918034978211
perf_cache_misses_3,27.0,4.4532137480564415
weights_4,28.0,4.454196512000635
perf_branch_misses_2,29.0,4.454646512516774
time_5,30.0,4.4592555739945965
perf_time_2,31.0,4.459387682552915
perf_cycles_3,32.0,4.464991131506395
perf_cycles_2,33.0,4.467031404506997
perf_instructions_2,34.0,4.467076722008642
perf_branches_4,35.0,4.4723733849823475
perf_instructions_5,36.0,4.473686378507409
perf_L1_dcache_loads_5,37.0,4.481414403533563
energy_5,38.0,4.482570042950101
perf_branches_3,39.0,4.4838097910396755
perf_cache_references_2,40.0,4.488447427502251
perf_cache_references_4,41.0,4.4923600450274535
time_2,42.0,4.4952127284923336
perf_branches_5,43.0,4.49574760091491
weights_2,44.0,4.500663314538542
energy_1,45.0,4.508438924094662
perf_L1_dcache_loads_3,46.0,4.512581973976921
perf_cache_references_3,47.0,4.524328394501936
perf_time_3,48.0,4.525425295010791
energy_2,49.0,4.531450584065169
perf_cache_misses_2,50.0,4.575319057505112
perf_cache_misses_4,51.0,4.700434698490426
perf_cache_misses_5,52.0,4.700526442495175
perf_cache_misses_1,53.0,4.7042374954908155
perf_task_clock_5,54.0,4.728577512083575
perf_faults_1,55.0,4.729257463593967
perf_faults_4,56.0,4.760327202966437
perf_task_clock_2,57.0,4.777165402541868
perf_task_clock_1,58.0,4.796411487041041
perf_task_clock_3,59.0,4.798434593481943
perf_faults_2,60.0,4.866695624543354
perf_faults_3,61.0,5.0022362360032275
weights_1,62.0,5.0290438259835355
original,63.0,5.054473908006912
perf_cpu_clock_2,64.0,5.083030487061478
perf_cpu_clock_4,65.0,5.103527291095816
perf_cpu_clock_5,66.0,5.126871990389191
perf_cpu_clock_1,67.0,5.129810936981812
weights_5,68.0,5.1677834945730865
perf_task_clock_4,69.0,5.280137514928356
perf_faults_5,70.0,5.633376257610507
perf_cpu_clock_3,71.0,8.03461699851323
