item_name,rank_new_highs,new_highs
energy_2,1.0,2
perf_task_clock_3,1.0,2
perf_task_clock_2,1.0,2
perf_cache_references_1,1.0,2
perf_cpu_clock_4,1.0,2
perf_cache_references_5,1.0,2
perf_task_clock_5,1.0,2
perf_cpu_clock_2,1.0,2
weights_3,1.0,2
perf_cpu_clock_1,2.0,3
weights_5,2.0,3
weights_4,2.0,3
perf_cache_misses_4,2.0,3
time_3,2.0,3
energy_4,3.0,4
perf_branches_4,3.0,4
perf_cache_references_4,3.0,4
perf_L1_dcache_loads_5,3.0,4
perf_cycles_3,3.0,4
energy_1,3.0,4
perf_faults_5,3.0,4
perf_cpu_clock_5,3.0,4
perf_branches_3,3.0,4
perf_faults_1,3.0,4
perf_faults_4,4.0,5
perf_L1_dcache_loads_1,4.0,5
perf_faults_2,4.0,5
weights_2,4.0,5
perf_branch_misses_3,4.0,5
perf_cache_misses_3,4.0,5
perf_cycles_2,4.0,5
perf_time_5,4.0,5
perf_time_4,4.0,5
perf_instructions_2,4.0,5
energy_5,4.0,5
time_5,4.0,5
perf_cache_misses_1,4.0,5
perf_branches_5,5.0,6
perf_instructions_4,5.0,6
perf_cycles_4,5.0,6
perf_cpu_clock_3,5.0,6
perf_cache_references_2,5.0,6
perf_task_clock_1,5.0,6
perf_L1_dcache_loads_2,5.0,6
time_4,5.0,6
perf_faults_3,5.0,6
perf_instructions_5,6.0,7
perf_time_2,6.0,7
weights_1,6.0,7
perf_branch_misses_5,6.0,7
energy_3,6.0,7
perf_task_clock_4,6.0,7
perf_L1_dcache_loads_3,6.0,7
perf_L1_dcache_loads_4,6.0,7
perf_instructions_3,6.0,7
perf_cache_misses_2,6.0,7
perf_branch_misses_2,7.0,8
time_2,7.0,8
perf_branch_misses_4,8.0,9
perf_cache_misses_5,8.0,9
perf_cache_references_3,8.0,9
perf_time_3,8.0,9
perf_instructions_1,9.0,11
perf_branches_1,10.0,12
perf_cycles_5,10.0,12
perf_cycles_1,10.0,12
perf_branch_misses_1,11.0,13
time_1,11.0,13
perf_branches_2,12.0,15
perf_time_1,13.0,16
