total_decreases,proportion_of_decreases,average_decrease_per_step,average_decrease_percentage_per_step,std_deviation_of_decreases,median_decrease,iqr_decrease,number_of_large_decreases,proportion_of_large_decreases,number_of_retries,item_name
4,0.005242463958060288,24484037.0,0.13792535594556152,26097196.09732226,8221613.0,28692257.5,1,0.3333333333333333,2,energy
3,0.01327433628318584,1843483.799999997,0.010432057363933286,873004.799999997,1843483.799999997,873004.799999997,0,0.0,5,energy
14,0.03153153153153153,99825946.79487178,0.03781912576017438,272281055.37171113,96416.33333301544,82270346.33333397,1,0.07692307692307693,3,perf_branches
6,0.030456852791878174,1046316.2457199998,0.07081410313938617,851515.8057455532,687657.1760000009,1762357.990000002,2,0.4,5,weights
5,0.003681885125184094,328.0,0.0481150066011442,200.3783920486438,354.5,204.0,1,0.25,1,perf_faults
7,0.01078582434514638,272.7222223333335,0.04026807101878789,282.61277109050957,172.16666700000042,370.0833332499999,2,0.3333333333333333,3,perf_faults
9,0.029411764705882353,147.65625,0.02176536704009434,245.33210709859708,27.625,126.75,2,0.25,4,perf_faults
8,0.03088803088803089,149.0285714285714,0.022000733920188285,212.92204954788846,51.600000000000364,108.90000000000009,1,0.14285714285714285,5,perf_faults
3,0.002544529262086514,5.0,0.5,1.0,5.0,1.0,0,0.0,1,perf_cpu_clock
4,0.005633802816901409,14.166666666666666,0.24637681159420288,6.195876765147035,15.5,7.5,0,0.0,2,perf_cpu_clock
4,0.008602150537634409,3.2222223333333333,0.1464646515151515,1.5713484812042455,4.333333,1.6666670000000003,0,0.0,3,perf_cpu_clock
6,0.03636363636363636,9.6,0.1411764705882353,9.559811713627,3.75,17.75,2,0.4,4,perf_cpu_clock
4,0.01509433962264151,0.8666666666666648,0.022927689594356215,0.24944382578493296,0.7999999999999972,0.30000000000000426,0,0.0,5,perf_cpu_clock
4,0.0024813895781637717,4.0,0.2857142857142857,0.0,4.0,0.0,0,0.0,1,perf_task_clock
7,0.009859154929577466,8.583333333333334,0.15895061728395063,4.702983686507488,8.0,5.375,1,0.16666666666666666,2,perf_task_clock
7,0.02564102564102564,4.555555666666666,0.09761904930272107,4.712735375135077,2.6666670000000003,4.749999500000002,1,0.16666666666666666,3,perf_task_clock
4,0.017699115044247787,9.583333333333334,0.17912772585669784,8.09921120987854,8.5,9.875,1,0.3333333333333333,4,perf_task_clock
3,0.009202453987730062,6.299999999999999,0.18103448275862066,1.8999999999999968,6.299999999999999,1.8999999999999968,0,0.0,5,perf_task_clock
14,0.013605442176870748,0.09586153846153846,0.018005548170837427,0.1287442458069576,0.04559999999999942,0.07909999999999862,3,0.23076923076923078,1,time
17,0.019473081328751432,0.20095000000000002,0.03795949979220976,0.43202036989012454,0.0239999999999998,0.07805000000000051,3,0.1875,2,time
12,0.019704433497536946,0.19508181818181816,0.03825133689839572,0.4893386145292658,0.03420000000000023,0.05895000000000006,1,0.09090909090909091,3,time
8,0.02247191011235955,0.028257142857142852,0.005606798455721032,0.03978391121844005,0.012599999999999945,0.008599999999999941,1,0.14285714285714285,4,time
8,0.026490066225165563,0.008399999999999963,0.0016479312577246706,0.008662233298306104,0.0022999999999999687,0.014349999999999863,3,0.42857142857142855,5,time
16,0.011627906976744186,0.08858186666666669,0.016856547800506005,0.12797166493661344,0.025295999999999985,0.06473150000000016,3,0.2,1,perf_time
7,0.015486725663716814,0.47251916666666666,0.09160190335541447,0.9126167787184674,0.05547100000000027,0.1392907499999998,1,0.16666666666666666,3,perf_time
5,0.01953125,0.05000950000000004,0.009869424686320466,0.03994167496800823,0.028788000000000036,0.027138000000000106,1,0.25,4,perf_time
3,0.013824884792626729,0.014377000000000084,0.002812106237645585,0.0006339999999993573,0.014377000000000084,0.0006339999999993573,0,0.0,5,perf_time
11,0.007260726072607261,953233680.2,0.049624082094712155,2648695243.8791027,62299617.5,122885286.75,1,0.1,1,perf_cycles
17,0.030249110320284697,194348395.1875,0.00972675854938098,280870065.2484899,83753312.5,133192812.0,3,0.1875,2,perf_cycles
12,0.04477611940298507,217502162.181818,0.01130212243252508,381100285.13392854,55069213.0,152440541.16666603,2,0.18181818181818182,3,perf_cycles
4,0.010101010101010102,52794372.40000025,0.002762015882767241,29815601.95169012,70301135.79999924,33220326.700000763,0,0.0,5,perf_cycles
24,0.013904982618771726,12184077.347826088,0.033919686631262005,37323099.69754185,910429.0,2261336.5,3,0.13043478260869565,1,perf_cache_references
12,0.01593625498007968,7384879.545454546,0.02041598290794839,20219707.856859922,734182.5,873007.75,1,0.09090909090909091,2,perf_cache_references
13,0.020602218700475437,0.22318358333333332,0.041794717660472214,0.5651408573922756,0.037607500000000016,0.08574499999999996,1,0.08333333333333333,2,perf_time
8,0.021333333333333333,148657815.75,0.007769510814606109,189735151.1614611,78452303.0,143991159.25,1,0.14285714285714285,4,perf_cycles
