item_name_orig,mean_median_execution_time,rank
perf_branches,3.2590790977934376,1.0
perf_instructions,3.780854919215199,2.0
perf_time,4.031127193194697,3.0
perf_L1_dcache_loads,4.134250209305901,4.0
energy,4.183784297597595,5.0
time,4.196685106298537,6.0
perf_branch_misses,4.357728259998839,7.0
perf_cycles,4.544619737303583,8.0
perf_cache_references,4.635413910000352,9.0
perf_cache_misses,4.809449566691183,10.0
perf_faults,4.856519033992663,11.0
original,5.052146347501548,12.0
weights,5.8659512880025435,13.0
perf_cpu_clock,8.279790143086576,14.0
perf_task_clock,12.556574358860962,15.0
