item_name,rank_median_execution_time,median_execution_time
perf_branch_misses_1,1.0,2.3654487400199287
perf_time_3,2.0,2.378856797993649
perf_branches_1,3.0,2.509632162458729
perf_instructions_4,4.0,2.6160734525183216
perf_branches_3,5.0,2.6494445889256895
energy_1,6.0,2.6528878974495456
time_2,7.0,2.6638257055019494
perf_cycles_1,8.0,2.668201433989452
perf_time_2,9.0,2.7239941329462454
perf_faults_3,10.0,2.776365051046014
perf_cache_references_1,11.0,2.789807026492781
perf_branches_4,12.0,2.819964399037417
perf_L1_dcache_loads_1,13.0,2.8379496185225435
perf_instructions_1,14.0,3.0368602944654413
perf_L1_dcache_loads_2,15.0,3.042085014982149
perf_branches_2,16.0,3.0654816275346093
energy_2,17.0,3.18334070709534
perf_instructions_3,18.0,3.3114959125523455
time_3,19.0,3.458501866000006
perf_cache_misses_3,20.0,3.559079255501274
perf_branch_misses_2,21.0,4.357842881930992
perf_cache_misses_1,22.0,4.798322139016818
perf_cycles_2,23.0,4.8189748955046525
perf_L1_dcache_loads_3,24.0,4.8254745450103655
perf_time_4,25.0,4.850300267513376
energy_3,26.0,4.853369147516787
perf_L1_dcache_loads_4,27.0,4.8620305035146885
perf_instructions_5,28.0,4.8660372529993765
perf_branch_misses_3,29.0,4.86627097701421
time_4,30.0,4.872739789512707
time_1,31.0,4.87319497099088
perf_cycles_4,32.0,4.880940682021901
original,33.0,5.052146347501548
perf_cache_misses_2,34.0,5.063599411980249
perf_cache_references_4,35.0,5.065183776488993
perf_instructions_2,36.0,5.073807683540508
perf_branch_misses_4,37.0,5.079770628013648
perf_time_5,38.0,5.084541922013159
energy_4,39.0,5.09638298698701
perf_cache_references_2,40.0,5.09918906398525
perf_cycles_5,41.0,5.0998555249971105
perf_cache_references_3,42.0,5.103604781499598
perf_L1_dcache_loads_5,43.0,5.103711364499759
weights_4,44.0,5.113897313072812
time_5,45.0,5.115163199487142
perf_time_1,46.0,5.117942845507059
perf_cache_references_5,47.0,5.1192849015351385
perf_branch_misses_5,48.0,5.119308073015418
perf_cache_misses_4,49.0,5.1263408699887805
perf_task_clock_5,50.0,5.128106339951046
energy_5,51.0,5.132940748939291
perf_task_clock_1,52.0,5.1624383254675195
perf_cpu_clock_3,53.0,5.211476977332495
perf_branches_5,54.0,5.250872711010743
perf_cycles_3,55.0,5.2551261500047985
perf_faults_5,56.0,5.266913591534831
weights_1,57.0,5.368298958463129
perf_faults_2,58.0,5.391920979483984
perf_faults_4,59.0,5.4167700704419985
perf_faults_1,60.0,5.430625477456488
perf_cache_misses_5,61.0,5.499906156968791
weights_2,62.0,6.122196139011066
weights_5,63.0,6.210110062500462
perf_cpu_clock_5,64.0,6.360230804071762
weights_3,65.0,6.515253966965247
perf_cpu_clock_1,66.0,6.585050071473233
perf_task_clock_2,67.0,6.64686642808374
perf_cpu_clock_2,68.0,10.576759726041928
perf_cpu_clock_4,69.0,12.665433136513457
perf_task_clock_3,70.0,20.808674197411165
perf_task_clock_4,71.0,25.03678650339134
