item_name,rank_new_highs,new_highs
perf_cache_references_4,1.0,1
energy_5,2.0,2
perf_branch_misses_4,2.0,2
perf_time_5,2.0,2
weights_1,2.0,2
weights_2,2.0,2
perf_task_clock_5,2.0,2
perf_cpu_clock_1,2.0,2
energy_2,3.0,3
perf_cycles_5,3.0,3
perf_task_clock_1,3.0,3
perf_cpu_clock_5,3.0,3
perf_task_clock_4,3.0,3
perf_cpu_clock_3,3.0,3
perf_cpu_clock_2,3.0,3
weights_3,3.0,3
perf_cache_misses_4,4.0,4
perf_cache_misses_5,4.0,4
perf_faults_1,4.0,4
perf_time_4,4.0,4
energy_4,4.0,4
perf_branch_misses_5,4.0,4
weights_4,4.0,4
perf_cpu_clock_4,5.0,5
weights_5,5.0,5
perf_branches_5,5.0,5
perf_cache_references_3,5.0,5
perf_time_3,6.0,6
perf_faults_3,6.0,6
perf_task_clock_3,6.0,6
perf_task_clock_2,6.0,6
perf_cache_references_5,6.0,6
energy_3,7.0,7
perf_L1_dcache_loads_5,7.0,7
perf_cycles_4,7.0,7
perf_faults_5,7.0,7
time_5,7.0,7
time_4,7.0,7
perf_faults_4,8.0,8
perf_L1_dcache_loads_3,9.0,9
perf_cache_misses_3,10.0,10
perf_branches_4,10.0,10
perf_branch_misses_3,10.0,10
perf_cycles_1,10.0,10
perf_faults_2,10.0,10
energy_1,11.0,11
perf_cache_references_2,11.0,11
perf_L1_dcache_loads_4,11.0,11
perf_cycles_3,11.0,11
time_3,11.0,11
perf_instructions_5,12.0,12
perf_time_2,12.0,12
perf_instructions_4,12.0,12
perf_branches_3,13.0,13
perf_branch_misses_2,13.0,13
time_1,13.0,13
perf_L1_dcache_loads_2,14.0,14
perf_time_1,15.0,15
perf_cache_misses_2,15.0,15
perf_instructions_3,15.0,15
time_2,16.0,16
perf_cycles_2,16.0,16
perf_instructions_2,17.0,17
perf_L1_dcache_loads_1,17.0,17
perf_branch_misses_1,18.0,18
perf_branches_2,19.0,22
perf_cache_misses_1,19.0,22
perf_cache_references_1,20.0,23
perf_instructions_1,20.0,23
perf_branches_1,21.0,24
