total_decreases,proportion_of_decreases,average_decrease_per_step,average_decrease_percentage_per_step,std_deviation_of_decreases,median_decrease,iqr_decrease,number_of_large_decreases,proportion_of_large_decreases,number_of_retries,item_name
10,0.043668122270742356,21022765.666666668,0.027571193184090407,44728080.8278141,4196789.5,6045800.5,1,0.1111111111111111,2,energy
5,0.046296296296296294,154391469.275,0.1978383053586526,248961127.81448913,15519657.800000012,149551703.82500008,1,0.25,5,energy
4,0.023668639053254437,1458266.3333333333,0.00016878772256233594,1759296.7665592884,290574.0,1902645.1666679382,1,0.3333333333333333,3,perf_branches
6,0.02857142857142857,21659406.071640003,0.14753796301570965,19296401.774236668,12863776.459600002,18022281.91599998,1,0.2,5,weights
12,0.011627906976744186,96.36363636363636,0.0171130592014982,173.47846223524155,15.0,29.0,2,0.18181818181818182,1,perf_faults
5,0.04854368932038835,18.166666750000104,0.0032206595110967763,5.166666459677169,17.166666499999792,6.66666624999948,0,0.0,3,perf_faults
4,0.041666666666666664,18.666666666666668,0.0033164549465517753,7.214953607304453,23.0,8.0,0,0.0,4,perf_faults
7,0.07954545454545454,91.59999999999991,0.016312865080495783,175.34906139849585,17.299999999999727,17.399999999999864,1,0.16666666666666666,5,perf_faults
5,0.015151515151515152,12.0,0.24,15.604486534327235,3.5,10.0,1,0.25,1,perf_cpu_clock
3,0.02054794520547945,18.0,0.45,5.5,18.0,5.5,0,0.0,2,perf_cpu_clock
5,0.021929824561403508,9.083333249999999,0.21124030813953487,10.323584030563763,4.833333499999998,10.750000249999998,1,0.25,3,perf_cpu_clock
3,0.043478260869565216,7.125,0.2007042253521127,4.375,7.125,4.375,1,0.5,4,perf_cpu_clock
3,0.02564102564102564,4.5,0.15,3.3000000000000007,4.5,3.3000000000000007,1,0.5,5,perf_cpu_clock
8,0.031007751937984496,1.8571428571428572,0.14285714285714285,1.124858267715973,1.0,1.5,2,0.2857142857142857,1,perf_task_clock
5,0.02032520325203252,10.125,0.2154255319148936,4.203792930200059,11.5,5.625,0,0.0,2,perf_task_clock
6,0.06451612903225806,7.533333399999999,0.13780487842801903,6.5306117950600795,4.0,11.333333,2,0.4,3,perf_task_clock
3,0.043478260869565216,4.625,0.12091503267973856,3.875,4.625,3.875,1,0.5,4,perf_task_clock
4,0.042105263157894736,10.666666666666666,0.176017601760176,2.21710521977545,9.200000000000003,2.3999999999999986,0,0.0,5,perf_task_clock
15,0.024958402662229616,0.7775642857142857,0.05636116625091771,2.3978465966085794,0.0793500000000007,0.0852499999999996,1,0.07142857142857142,1,time
10,0.02577319587628866,1.2116666666666667,0.08859025726513224,3.321655952483138,0.014899999999999913,0.10970000000000013,1,0.1111111111111111,2,time
8,0.02476780185758514,1.545014285714286,0.11289672680810554,3.7010883902783327,0.020000000000000018,0.08335000000000004,1,0.14285714285714285,3,time
7,0.05185185185185185,1.8118666666666667,0.1313927544955051,3.9041527457595993,0.059299999999999464,0.11509999999999965,1,0.16666666666666666,4,time
3,0.030927835051546393,0.08355000000000068,0.006058386750587397,0.041550000000000864,0.08355000000000068,0.041550000000000864,0,0.0,5,time
10,0.034722222222222224,0.6567365555555554,0.04773717561356741,0.9764156182323307,0.10314100000000082,0.5607980000000019,2,0.2222222222222222,1,perf_time
7,0.06363636363636363,0.5546066666666668,0.04003065467282023,1.145354290748889,0.032619500000000023,0.08290525000000182,1,0.16666666666666666,3,perf_time
4,0.032520325203252036,0.05101933333333323,0.0036941312963937024,0.03815204007069022,0.04250099999999968,0.04614049999999992,1,0.3333333333333333,4,perf_time
6,0.07692307692307693,2.2159892,0.1580737450427839,4.235483987679113,0.015268999999999977,0.3472650000000006,1,0.2,5,perf_time
12,0.02027027027027027,3745279026.2727275,0.0722431850034656,11537665169.446548,55229301.0,107401365.5,1,0.09090909090909091,1,perf_cycles
8,0.03827751196172249,2321783848.285714,0.04424286786415275,4985535790.23784,300469852.0,170235102.25,1,0.14285714285714285,2,perf_cycles
6,0.031088082901554404,2593882591.666667,0.049751152806096606,4558379022.383468,152580922.0,822009133.6666718,1,0.2,3,perf_cycles
6,0.08695652173913043,8232778976.360001,0.15772675685307422,15819153003.200994,397133030.3999939,653632856.2000046,1,0.2,5,perf_cycles
11,0.01011029411764706,8101103.8,0.09132483880797553,21085662.645641275,676711.5,1007003.0,1,0.1,1,perf_cache_references
7,0.008274231678486997,13739671.666666666,0.14100553983535985,29283770.679565556,658958.5,297539.75,1,0.16666666666666666,2,perf_cache_references
3,0.01744186046511628,0.18098149999999968,0.012946794110480756,0.1796705000000003,0.18098149999999968,0.1796705000000003,1,0.5,2,perf_time
7,0.07954545454545454,161625158.625,0.0031058600837317422,68889190.4966011,160887329.0,60405019.25,1,0.16666666666666666,4,perf_cycles
6,0.009584664536741214,16468961.3333334,0.16843483257834313,32048330.44087625,726169.6666669995,492742.33333300054,1,0.2,3,perf_cache_references
7,0.04697986577181208,13527604.333333334,0.1398987676263256,29175022.076315444,451269.875,406439.9375,1,0.16666666666666666,4,perf_cache_references
4,0.024390243902439025,27201593.26666667,0.279273805326441,38393599.161245234,56196.0,40724049.900000006,1,0.3333333333333333,5,perf_cache_references
12,0.012121212121212121,42913.36363636364,0.06434752382120804,66608.62201529814,13307.0,17302.5,2,0.18181818181818182,1,perf_cache_misses
4,0.02631578947368421,16228.333333333334,0.03235745869829769,3076.0714212919197,17720.0,3539.0,0,0.0,2,perf_cache_misses
10,0.03460207612456748,27764.407407444443,0.05876703516450787,57128.63777923977,7424.0,6944.999999999942,1,0.1111111111111111,3,perf_cache_misses
6,0.05042016806722689,2399.2,0.0049737753177021785,2199.3789032360933,1147.25,3857.75,2,0.4,4,perf_cache_misses
7,0.07216494845360824,6349.433333333339,0.012589509154348345,5345.923128785985,4777.8000000000175,855.2000000000262,1,0.16666666666666666,5,perf_cache_misses
10,0.02145922746781116,42745617.777777776,0.039520395892414704,69665832.10561474,796920.0,42452176.0,2,0.2222222222222222,1,perf_branch_misses
11,0.048672566371681415,84955419.6,0.07858097303004254,175644283.16401458,536960.75,1657994.375,2,0.2,2,perf_branch_misses
2,0.014492753623188406,848288662.666667,0.7846551949674521,0.0,848288662.666667,0.0,0,0.0,3,perf_branch_misses
9,0.02586206896551724,106225710.34375,0.09822263887788721,280829094.20283073,53604.875,180301.25,1,0.125,4,perf_branch_misses
