item_name_orig,mean_median_execution_time,rank
perf_cache_references,3.0527382833002776,1.0
time,5.171552989599149,2.0
weights,5.202186131186318,3.0
energy,6.207983076485107,4.0
perf_branch_misses,7.099638375709764,5.0
perf_cycles,8.029334933403879,6.0
perf_L1_dcache_loads,8.54371333909221,7.0
perf_cache_misses,9.567723553202814,8.0
perf_faults,9.851658458681777,9.0
perf_time,9.885048866894067,10.0
perf_instructions,11.164678497501882,11.0
perf_branches,11.590021874400554,12.0
perf_cpu_clock,12.284606941859238,13.0
original,13.675945046001289,14.0
perf_task_clock,14.623276804969645,15.0
