item_name_orig,mean_median_execution_time,rank
perf_L1_dcache_loads,2.1952544195984958,1.0
perf_cycles,2.2273810230046367,2.0
time,2.236714047999885,3.0
perf_branches,2.254947617504513,4.0
perf_cache_references,2.275821430602446,5.0
perf_cache_misses,2.3151377378031612,6.0
perf_instructions,2.316068002209067,7.0
perf_branch_misses,2.3214828186959493,8.0
perf_time,2.352081420404647,9.0
perf_faults,2.3728606733086055,10.0
energy,2.4103890723141377,11.0
weights,2.748086095502367,12.0
perf_task_clock,11.335847720177844,13.0
original,13.696590169000046,14.0
perf_cpu_clock,16.525310821528546,15.0
