item_name,rank_new_highs,new_highs
weights_3,1.0,2
perf_cpu_clock_3,1.0,2
perf_task_clock_2,1.0,2
perf_cpu_clock_5,1.0,2
weights_5,2.0,3
perf_cpu_clock_2,2.0,3
energy_3,3.0,4
perf_cache_misses_1,3.0,4
perf_task_clock_4,3.0,4
perf_cpu_clock_1,3.0,4
perf_task_clock_1,3.0,4
perf_instructions_5,4.0,5
energy_4,4.0,5
perf_task_clock_5,4.0,5
perf_cycles_4,4.0,5
perf_task_clock_3,5.0,6
perf_cache_references_5,5.0,6
perf_cache_references_4,5.0,6
perf_branches_5,5.0,6
perf_cpu_clock_4,5.0,6
perf_cache_misses_4,5.0,6
perf_time_5,5.0,6
perf_branch_misses_4,5.0,6
perf_cache_misses_5,5.0,6
time_5,5.0,6
time_4,5.0,6
weights_4,5.0,6
time_2,5.0,6
perf_cache_misses_3,6.0,7
perf_time_1,6.0,7
perf_cache_references_1,6.0,7
weights_2,6.0,7
perf_cycles_1,6.0,7
perf_time_4,6.0,7
perf_cycles_5,6.0,7
perf_cycles_3,7.0,8
time_3,7.0,8
perf_branches_4,7.0,8
perf_instructions_2,7.0,8
perf_instructions_4,7.0,8
perf_faults_3,7.0,8
perf_instructions_1,8.0,9
perf_L1_dcache_loads_4,8.0,9
perf_cache_references_2,8.0,9
perf_L1_dcache_loads_3,8.0,9
perf_cache_references_3,8.0,9
perf_faults_4,8.0,9
perf_branches_2,8.0,9
perf_time_3,8.0,9
perf_L1_dcache_loads_2,9.0,10
energy_2,9.0,10
perf_faults_1,9.0,10
perf_time_2,9.0,10
perf_L1_dcache_loads_5,9.0,10
perf_branch_misses_5,10.0,11
weights_1,10.0,11
perf_instructions_3,10.0,11
perf_branch_misses_3,10.0,11
perf_cache_misses_2,11.0,12
perf_branch_misses_2,11.0,12
energy_1,11.0,12
perf_branches_3,11.0,12
energy_5,11.0,12
perf_cycles_2,12.0,13
time_1,12.0,13
perf_faults_5,13.0,14
perf_branch_misses_1,14.0,15
perf_faults_2,14.0,15
perf_branches_1,15.0,18
perf_L1_dcache_loads_1,16.0,20
