item_name_orig,mean_median_execution_time,rank
perf_cache_misses,5.518835157575086,1.0
perf_time,5.656813320505899,2.0
perf_branch_misses,5.752792942768428,3.0
perf_cache_references,5.80369477749191,4.0
perf_L1_dcache_loads,5.992396912397817,5.0
time,6.050943874500808,6.0
perf_cycles,6.148349700393737,7.0
perf_branches,6.219342604919802,8.0
perf_instructions,6.483646020386368,9.0
original,6.584294650005177,10.0
perf_task_clock,6.611920839198865,11.0
weights,6.961646543710958,12.0
energy,7.02477201850852,13.0
perf_faults,7.283835018984973,14.0
perf_cpu_clock,8.135005758213811,15.0
