item_name,rank_median_execution_time,median_execution_time
perf_L1_dcache_loads_5,1.0,4.481967838481069
perf_task_clock_4,2.0,4.536805930431001
perf_cache_references_1,3.0,4.673152923998714
perf_time_3,4.0,4.734836065006675
perf_time_1,5.0,4.744570554503298
perf_cache_references_4,6.0,4.750474756991025
perf_cache_misses_5,7.0,4.751321729971096
perf_cache_misses_4,8.0,4.752003082016017
perf_branch_misses_1,9.0,4.753583113488276
time_5,10.0,4.7542407189976075
perf_cycles_3,11.0,4.761686274498061
perf_cache_misses_2,12.0,4.763418646994978
perf_branch_misses_2,13.0,4.872182555962354
perf_L1_dcache_loads_1,14.0,5.808216950041242
perf_faults_1,15.0,5.897672020015307
perf_branches_3,16.0,5.9417923996225
perf_time_5,17.0,6.102963919496688
perf_cache_references_2,18.0,6.109583153491258
perf_cycles_2,19.0,6.116956592988572
perf_branches_4,20.0,6.120876871049404
perf_time_2,21.0,6.12102598202182
perf_instructions_2,22.0,6.130552679533139
perf_branches_5,23.0,6.1311583944479935
time_2,24.0,6.132263054998475
energy_3,25.0,6.159133723005652
perf_branch_misses_5,26.0,6.198284927464556
perf_instructions_3,27.0,6.235228963487316
perf_branches_2,28.0,6.265743458003271
time_3,29.0,6.326903458000743
perf_L1_dcache_loads_4,30.0,6.366976826451719
time_1,31.0,6.43532109350781
perf_branch_misses_3,32.0,6.461522725468967
perf_branch_misses_4,33.0,6.47839139145799
perf_cycles_1,34.0,6.544738544012944
perf_time_4,35.0,6.580670081501012
original,36.0,6.584294650005177
perf_faults_2,37.0,6.588393357465975
perf_cycles_4,38.0,6.594224280968774
perf_cache_misses_1,39.0,6.6019290464464575
time_4,40.0,6.6059910469994065
energy_4,41.0,6.620362005021889
weights_2,42.0,6.621029082045425
perf_instructions_5,43.0,6.631706026964821
perf_branches_1,44.0,6.637141901475843
perf_L1_dcache_loads_3,45.0,6.646387806511484
perf_instructions_1,46.0,6.650349787436426
weights_1,47.0,6.65478606702527
weights_3,48.0,6.65769572352292
perf_L1_dcache_loads_2,49.0,6.65843514050357
weights_4,50.0,6.703861819463782
perf_cycles_5,51.0,6.724142809500336
perf_cache_misses_3,52.0,6.72550328244688
perf_cache_references_5,53.0,6.741461195982993
energy_1,54.0,6.742311718524434
perf_cache_references_3,55.0,6.74380185699556
perf_task_clock_5,56.0,6.750004297471605
perf_task_clock_3,57.0,6.754827033961192
perf_task_clock_2,58.0,6.7626780070131645
perf_instructions_4,59.0,6.770392644510139
energy_2,60.0,7.531315214000642
perf_faults_4,61.0,7.552845899946988
perf_cpu_clock_2,62.0,7.574783114599995
perf_faults_3,63.0,7.690628148498945
energy_5,64.0,8.070737431989983
perf_cpu_clock_5,65.0,8.160116988117807
weights_5,66.0,8.170860026497394
perf_cpu_clock_4,67.0,8.22987647948321
perf_task_clock_1,68.0,8.255288927117363
perf_cpu_clock_1,69.0,8.265114451409318
perf_cpu_clock_3,70.0,8.445137757458724
perf_faults_5,71.0,8.689635668997653
