total_decreases,proportion_of_decreases,average_decrease_per_step,average_decrease_percentage_per_step,std_deviation_of_decreases,median_decrease,iqr_decrease,number_of_large_decreases,proportion_of_large_decreases,number_of_retries,item_name
4,0.02962962962962963,13800360.0,0.013422934387278278,7721528.617336477,12334056.5,9371257.75,1,0.3333333333333333,2,energy
6,0.10344827586206896,5326165.64000001,0.005185613780890384,1533415.178156056,4884698.600000024,2235620.5,0,0.0,5,energy
7,0.05426356589147287,97214066.38888867,0.00621678549991495,130261708.47893861,46898854.5,39214521.083334446,1,0.16666666666666666,3,perf_branches
4,0.36363636363636365,42501921.78479997,0.024800549709317807,3247103.509747313,44389367.00580001,3625422.0041000843,0,0.0,5,weights
4,0.007029876977152899,5153.0,0.02443639329647088,3307.0300875559024,3121.0,3648.0,1,0.3333333333333333,1,perf_faults
3,0.016853932584269662,1228.5,0.006109164326667665,180.83333400002448,1228.5,180.83333400002448,0,0.0,3,perf_faults
4,0.02564102564102564,2206.8333333333335,0.010590897874741698,2230.1264382441536,873.5,2475.25,1,0.3333333333333333,4,perf_faults
5,0.041666666666666664,1334.0,0.006426016987036209,656.2420742378565,1221.0999999999913,1154.7000000000116,1,0.25,5,perf_faults
7,0.016867469879518072,9.5,0.16666666666666666,8.460693430998036,6.5,10.75,2,0.3333333333333333,1,perf_cpu_clock
5,0.01358695652173913,19.875,0.22714285714285715,10.126543092289689,18.5,12.125,1,0.25,2,perf_cpu_clock
4,0.014925373134328358,13.444444333333331,0.2636165555555555,7.309725944432955,9.666666999999997,8.333333,1,0.3333333333333333,3,perf_cpu_clock
2,0.0125,7.25,0.23770491803278687,0.0,7.25,0.0,0,0.0,4,perf_cpu_clock
2,0.010101010101010102,30.599999999999998,0.6401673640167364,0.0,30.599999999999998,0.0,0,0.0,5,perf_cpu_clock
5,0.008635578583765112,10.0,0.25,10.41633332799983,6.0,12.5,1,0.25,1,perf_task_clock
4,0.011142061281337047,11.5,0.26136363636363635,1.0801234497346435,11.0,1.25,0,0.0,2,perf_task_clock
6,0.0425531914893617,6.333333399999999,0.16379310376040426,2.8284272661675853,6.333333,3.999999000000006,1,0.2,3,perf_task_clock
9,0.05325443786982249,5.84375,0.09275793650793651,3.6010794822525094,4.5,5.3125,1,0.125,4,perf_task_clock
2,0.01652892561983471,3.400000000000002,0.10759493670886082,0.0,3.400000000000002,0.0,0,0.0,5,perf_task_clock
5,0.006622516556291391,0.03082499999999988,0.004102615292473532,0.029910230273269008,0.021999999999999797,0.043324999999999614,1,0.25,1,time
7,0.02287581699346405,0.029200000000000042,0.003835141453676225,0.025910679908742934,0.02925000000000022,0.05137500000000017,3,0.5,2,time
7,0.022727272727272728,0.011233333333333354,0.0014865985566319085,0.01333574978102918,0.007200000000000095,0.008475000000000232,1,0.16666666666666666,3,time
5,0.029585798816568046,0.020074999999999843,0.0026661796932066994,0.01603782638015518,0.01599999999999957,0.023375000000000146,1,0.25,4,time
4,0.026490066225165563,0.01863333333333343,0.002471624949705319,0.016701563466401333,0.011499999999999844,0.019500000000000295,1,0.3333333333333333,5,time
6,0.013333333333333334,0.040275200000000136,0.005205266113465855,0.02636467947387191,0.03570999999999991,0.011282999999998822,1,0.2,1,perf_time
5,0.015197568389057751,0.02432275000000006,0.003152519047124061,0.013159592345034664,0.021308499999999952,0.01702824999999919,1,0.25,3,perf_time
3,0.017543859649122806,0.01730849999999995,0.0022639802102348556,0.008488499999999899,0.01730849999999995,0.008488499999999899,0,0.0,4,perf_time
6,0.05263157894736842,0.009363000000000099,0.001217787897323962,0.0064960983674816185,0.00959900000000058,0.011822999999999695,2,0.4,5,perf_time
3,0.00436046511627907,246934132.0,0.0030949034646310463,154282971.0,246934132.0,154282971.0,1,0.5,1,perf_cycles
9,0.029315960912052116,328937344.9375,0.003981994928449238,276819139.77350724,262140392.5,365225241.375,2,0.25,2,perf_cycles
2,0.010101010101010102,478861085.33332825,0.0059170272706600986,0.0,478861085.33332825,0.0,0,0.0,3,perf_cycles
7,0.0472972972972973,232933711.46666718,0.0028397573110137534,389385211.518345,55235099.0,107120280.10000229,1,0.16666666666666666,5,perf_cycles
4,0.0069084628670120895,15305501.0,0.015474265177462967,5468568.357774273,16199711.0,6652680.0,0,0.0,1,perf_cache_references
4,0.009779951100244499,1444264.1666666667,0.001464230758454722,990879.475738963,2081502.0,1080837.25,1,0.3333333333333333,2,perf_cache_references
5,0.009652509652509652,0.024992249999999938,0.003242250175914175,0.01468645545009061,0.023984000000000005,0.019262250000000147,1,0.25,2,perf_time
