item_name_orig,mean_median_execution_time,rank
original,7.50362541049617,1.0
perf_cache_misses,7.538486571697286,2.0
perf_cache_references,7.539228366703901,3.0
perf_branch_misses,7.541233848012053,4.0
perf_instructions,7.543577864521649,5.0
perf_cycles,7.54723407279962,6.0
perf_time,7.5483484820957525,7.0
perf_L1_dcache_loads,7.571483647194691,8.0
time,7.602499137901759,9.0
perf_branches,7.901751105673611,10.0
weights,7.917899197898805,11.0
energy,8.28342902782606,12.0
perf_faults,9.004495987086557,13.0
perf_cpu_clock,9.371146662603133,14.0
perf_task_clock,9.394469041400589,15.0
