item_name,rank_median_execution_time,median_execution_time
perf_cycles_5,1.0,7.4983720224990975
original,2.0,7.50362541049617
perf_cache_references_1,3.0,7.505438779502583
perf_cache_references_4,4.0,7.510684830020182
perf_instructions_1,5.0,7.510918145941105
perf_branch_misses_2,6.0,7.511881416023243
perf_cache_misses_1,7.0,7.517912599025294
perf_cache_misses_4,8.0,7.520052625506651
perf_cache_references_2,9.0,7.528153174498584
perf_instructions_3,10.0,7.529437538003549
weights_1,11.0,7.529730589478277
perf_time_5,12.0,7.531235091497365
perf_branch_misses_5,13.0,7.53247877798276
perf_cycles_4,14.0,7.532973306486383
perf_branch_misses_1,15.0,7.535954041057266
perf_L1_dcache_loads_5,16.0,7.538000973523594
weights_4,17.0,7.5392601625062525
perf_branches_5,18.0,7.541093530948274
perf_time_3,19.0,7.544544548502017
perf_cycles_1,20.0,7.54490307650849
perf_cache_misses_2,21.0,7.545915562484879
energy_4,22.0,7.546283107018098
perf_instructions_2,23.0,7.547142617055215
perf_time_1,24.0,7.547377153001435
perf_branches_2,25.0,7.550095882965252
perf_cache_misses_5,26.0,7.5502875779639
perf_cache_misses_3,27.0,7.558264493505703
perf_branches_4,28.0,7.558593432011548
energy_1,29.0,7.5586275745299645
perf_time_4,30.0,7.558636191497499
weights_2,31.0,7.559477451024577
perf_time_2,32.0,7.559949425980449
perf_branch_misses_3,33.0,7.562195807520766
perf_instructions_5,34.0,7.562872104521375
perf_branch_misses_4,35.0,7.563659197476227
perf_cache_references_5,36.0,7.565889228484593
perf_instructions_4,37.0,7.567518917087
perf_L1_dcache_loads_1,38.0,7.567659892491065
perf_branches_1,39.0,7.568958657502662
perf_cycles_2,40.0,7.571858058501675
energy_3,41.0,7.572107515996322
perf_L1_dcache_loads_2,42.0,7.5800664685084485
perf_L1_dcache_loads_3,43.0,7.581332905450836
perf_cache_references_3,44.0,7.585975821013562
perf_faults_2,45.0,7.587041408987716
perf_cycles_3,46.0,7.588063900002453
weights_3,47.0,7.588301918003708
perf_L1_dcache_loads_4,48.0,7.590357995999511
time_5,49.0,7.591994635004085
time_1,50.0,7.599600180496054
time_4,51.0,7.601265692006564
time_2,52.0,7.608880014500755
time_3,53.0,7.610755167501338
perf_branches_3,54.0,9.29001402494032
perf_faults_1,55.0,9.311420873040333
perf_task_clock_3,56.0,9.316393151995726
perf_cpu_clock_5,57.0,9.319204272935167
perf_faults_5,58.0,9.330920643056743
perf_task_clock_4,59.0,9.351589806610718
perf_cpu_clock_2,60.0,9.367909987573512
energy_5,61.0,9.368526484584436
perf_cpu_clock_4,62.0,9.37136049894616
energy_2,63.0,9.371600457001477
weights_5,64.0,9.372725868481211
perf_cpu_clock_1,65.0,9.38270532398019
perf_task_clock_1,66.0,9.390632861410268
perf_faults_3,67.0,9.396508780424483
perf_faults_4,68.0,9.396588229923509
perf_cpu_clock_3,69.0,9.414553229580633
perf_task_clock_5,70.0,9.417172607500106
perf_task_clock_2,71.0,9.496556779486127
