item_name,rank_new_highs,new_highs
perf_L1_dcache_loads_5,1.0,0
perf_branch_misses_4,1.0,0
perf_cpu_clock_4,1.0,0
perf_L1_dcache_loads_4,2.0,1
perf_cache_misses_2,2.0,1
weights_2,2.0,1
energy_2,3.0,2
perf_cache_references_2,3.0,2
time_5,3.0,2
perf_task_clock_5,3.0,2
perf_cycles_3,3.0,2
perf_cpu_clock_5,3.0,2
perf_branches_4,3.0,2
perf_faults_4,3.0,2
weights_4,3.0,2
perf_faults_1,3.0,2
weights_5,3.0,2
perf_cpu_clock_3,3.0,2
perf_branches_2,4.0,3
perf_instructions_3,4.0,3
perf_branches_5,4.0,3
perf_branch_misses_3,4.0,3
perf_cache_misses_5,4.0,3
perf_cache_misses_3,4.0,3
perf_cache_references_3,4.0,3
perf_cycles_1,4.0,3
weights_3,4.0,3
perf_time_4,4.0,3
perf_faults_3,4.0,3
perf_faults_5,4.0,3
perf_cpu_clock_2,4.0,3
time_4,4.0,3
perf_task_clock_1,4.0,3
energy_5,5.0,4
perf_L1_dcache_loads_3,5.0,4
perf_L1_dcache_loads_1,5.0,4
weights_1,5.0,4
perf_branches_1,5.0,4
perf_instructions_5,5.0,4
perf_task_clock_2,5.0,4
perf_instructions_1,5.0,4
energy_4,5.0,4
perf_branch_misses_5,5.0,4
perf_cycles_4,5.0,4
perf_cache_references_5,5.0,4
perf_cache_references_1,5.0,4
perf_cache_misses_1,5.0,4
perf_branches_3,6.0,5
perf_time_3,6.0,5
time_1,6.0,5
time_2,6.0,5
perf_time_2,6.0,5
perf_instructions_4,6.0,5
time_3,6.0,5
perf_cache_references_4,6.0,5
perf_L1_dcache_loads_2,7.0,6
perf_time_1,7.0,6
perf_faults_2,7.0,6
energy_1,7.0,6
perf_cache_misses_4,7.0,6
energy_3,7.0,6
perf_time_5,7.0,6
perf_task_clock_3,7.0,6
perf_cpu_clock_1,8.0,7
perf_cycles_5,8.0,7
perf_task_clock_4,8.0,7
perf_cycles_2,8.0,7
perf_branch_misses_1,8.0,7
perf_branch_misses_2,8.0,7
perf_instructions_2,9.0,8
