total_decreases,proportion_of_decreases,average_decrease_per_step,average_decrease_percentage_per_step,std_deviation_of_decreases,median_decrease,iqr_decrease,number_of_large_decreases,proportion_of_large_decreases,number_of_retries,item_name
7,0.04697986577181208,70082024.75,0.09520836960149362,88667018.58158796,31573498.0,74851182.25,1,0.16666666666666666,1,energy
7,0.04697986577181208,70082024.75,0.09520836960149362,88667018.58158796,31573498.0,74851182.25,1,0.16666666666666666,2,energy
6,0.061224489795918366,91362764.16,0.12883199460968803,100031070.2520122,30669727.400000095,120258096.60000005,2,0.4,5,energy
8,0.03319502074688797,1323007406.857143,0.08337641161005531,1655937922.7362263,263867757.0,1968737005.666667,2,0.2857142857142857,3,perf_branches
4,0.05714285714285714,5240017358.044667,0.16510861224116177,6110834115.909823,1316287858.0922012,6668335661.666499,1,0.3333333333333333,5,weights
7,0.017543859649122806,17.666666666666668,0.00023036467162168038,12.995725793078618,18.0,21.0,2,0.3333333333333333,1,perf_faults
7,0.025547445255474453,16.111111000000772,0.0002100855540834651,15.189746550603433,10.833333000002312,28.000000249998266,2,0.3333333333333333,3,perf_faults
6,0.041666666666666664,12.9,0.00016822064288974376,12.871091639794972,7.75,2.0,1,0.2,4,perf_faults
5,0.05813953488372093,14.850000000002183,0.00019363469933814985,11.612385629149598,10.5,8.949999999993452,1,0.25,5,perf_faults
3,0.008450704225352112,33.0,0.4925373134328358,22.0,33.0,22.0,1,0.5,1,perf_cpu_clock
3,0.012875536480686695,19.75,0.4438202247191011,7.25,19.75,7.25,0,0.0,2,perf_cpu_clock
4,0.018604651162790697,17.333333333333332,0.2476190476190476,9.779040110434234,22.333333000000003,11.166666500000002,0,0.0,3,perf_cpu_clock
3,0.018404907975460124,16.125,0.30714285714285716,5.875,16.125,5.875,0,0.0,4,perf_cpu_clock
3,0.02586206896551724,18.4,0.292063492063492,10.199999999999998,18.4,10.2,1,0.5,5,perf_cpu_clock
3,0.007263922518159807,8.0,0.4444444444444444,3.0,8.0,3.0,0,0.0,1,perf_task_clock
3,0.014285714285714285,19.25,0.463855421686747,0.25,19.25,0.25,0,0.0,2,perf_task_clock
7,0.03365384615384615,10.222222166666667,0.1439749600938967,3.7646833831424384,10.000000000000002,3.2500002500000047,1,0.16666666666666666,3,perf_task_clock
5,0.05,8.9375,0.1375,6.193179211842654,8.875,4.9375,1,0.25,4,perf_task_clock
6,0.06896551724137931,4.5600000000000005,0.08669201520912548,2.821063629200872,3.5999999999999943,5.799999999999997,2,0.4,5,perf_task_clock
10,0.017064846416382253,1.9691222222222224,0.08802001771118452,2.3265948416696776,1.0024999999999995,2.348200000000001,2,0.2222222222222222,1,time
5,0.014925373134328358,2.0462750000000005,0.10505516451809983,2.9677537342028564,0.5099500000000008,2.4872249999999996,1,0.25,2,time
5,0.029585798816568046,2.2924249999999997,0.1126426813029143,3.3875008962175936,0.5102500000000001,2.580924999999999,1,0.25,3,time
4,0.022727272727272728,3.629466666666667,0.18444567539227993,2.498498095967966,2.544699999999999,2.9122499999999985,1,0.3333333333333333,4,time
4,0.04040404040404041,3.001,0.14779465358627347,3.448285186388542,1.157,3.909699999999999,1,0.3333333333333333,5,time
11,0.014864864864864866,1.4632079,0.07532020566340852,2.388085712435316,0.32233200000000073,0.7299777499999995,2,0.2,1,perf_time
5,0.025380710659898477,2.1912607499999996,0.10855457096347783,3.6041128259261224,0.16532700000000045,2.25376975,1,0.25,3,perf_time
5,0.05555555555555555,2.3183805,0.11191383045298256,3.030422062607657,0.8129950000000008,2.020982,1,0.25,4,perf_time
5,0.0390625,2.4095864999999996,0.11448762651509513,3.32951650997412,0.6549560000000003,2.186385999999996,1,0.25,5,perf_time
15,0.03424657534246575,3938377870.642857,0.03918341083915862,6631841307.358672,2203603619.0,2298238877.25,2,0.14285714285714285,1,perf_cycles
11,0.03942652329749104,5694968323.35,0.05287128380762735,8800425481.58374,1590013303.5,4914202220.25,2,0.2,2,perf_cycles
7,0.04861111111111111,8985385262.38889,0.08819959822841017,9785718316.747458,4214240749.6666718,16964755309.833338,2,0.3333333333333333,3,perf_cycles
9,0.08181818181818182,7032161869.4,0.06810848956191198,6964972387.291419,5456486594.199997,7192597203.650002,1,0.125,5,perf_cycles
12,0.024691358024691357,33923078.63636363,0.06390483031397377,51997518.564167514,7865463.0,40006942.5,3,0.2727272727272727,1,perf_cache_references
11,0.040293040293040296,28139619.85,0.06185044820063511,46030589.453915305,9728138.5,19052361.25,2,0.2,2,perf_cache_references
13,0.04436860068259386,1.3792875833333333,0.06343208632568567,2.092545576371295,0.7031334999999999,1.3692537500000008,2,0.16666666666666666,2,perf_time
10,0.06993006993006994,5369635180.75,0.04967796416484674,8713787982.18016,2289774340.75,3241451013.0,1,0.1111111111111111,4,perf_cycles
9,0.035856573705179286,47528173.875,0.0850176529879106,52341415.95998191,25067850.5,59407513.74999923,2,0.25,3,perf_cache_references
7,0.05426356589147287,36936153.333333336,0.07313038161329931,63611080.267797634,7689905.5,11962363.625,1,0.16666666666666666,4,perf_cache_references
5,0.06172839506172839,52097301.099999994,0.10319337303860138,77167042.30370194,9917318.5,51973958.00000003,1,0.25,5,perf_cache_references
8,0.01509433962264151,342961.85714285716,0.01833709876346929,183265.5900415168,359155.0,249685.0,1,0.14285714285714285,1,perf_cache_misses
8,0.019704433497536946,248779.7857142857,0.013647516070352722,195908.6602885672,174149.0,239037.25,2,0.2857142857142857,2,perf_cache_misses
5,0.04424778761061947,321426.25,0.017635422196336455,201746.65463652872,315010.4999995008,259819.91666699946,1,0.25,3,perf_cache_misses
