item_name_orig,mean_median_execution_time,rank
perf_cycles,6.432692536187824,1.0
perf_branch_misses,7.562845502793789,2.0
perf_cache_references,8.051322670502122,3.0
perf_branches,8.105377214378677,4.0
perf_instructions,8.578771942108869,5.0
energy,8.871147257830016,6.0
perf_time,8.892430864385096,7.0
weights,9.314997201133519,8.0
perf_cache_misses,9.43304188309703,9.0
time,9.637604897801065,10.0
perf_L1_dcache_loads,10.162902723974549,11.0
perf_faults,10.775032251491211,12.0
perf_cpu_clock,16.80690220608376,13.0
perf_task_clock,19.840888997353613,14.0
original,21.001230296533322,15.0
