item_name,rank_median_execution_time,median_execution_time
perf_time_1,1.0,4.870868083002279
perf_branch_misses_2,2.0,5.112127269036137
time_1,3.0,5.178883243032033
perf_cycles_1,4.0,5.320241133478703
perf_cycles_5,5.0,5.353936100029387
perf_cache_references_2,6.0,5.363419231027365
perf_time_2,7.0,5.40561157243792
perf_branch_misses_1,8.0,5.4136697254143655
perf_cache_references_1,9.0,5.541739960492123
perf_L1_dcache_loads_2,10.0,5.630168024916202
weights_1,11.0,5.64643567299936
perf_instructions_1,12.0,5.738333237590268
perf_cache_misses_5,13.0,5.842530659982003
perf_cache_misses_2,14.0,5.873265847447328
perf_cache_references_3,15.0,5.955516395973973
perf_cycles_3,16.0,5.972361384978285
perf_instructions_2,17.0,6.046467950567603
perf_branches_2,18.0,6.245032823062502
perf_branches_1,19.0,6.270294248010032
perf_cycles_2,20.0,6.497407664486673
energy_3,21.0,6.949610700365156
perf_faults_3,22.0,7.239580761524849
perf_branches_3,23.0,7.464871413540095
perf_instructions_3,24.0,7.584465452469885
energy_5,25.0,7.641491632559337
perf_L1_dcache_loads_4,26.0,7.721280905418098
perf_branch_misses_3,27.0,7.739637859049253
perf_branch_misses_5,28.0,7.856378157506697
energy_4,29.0,8.224726562388241
weights_3,30.0,8.475768366944976
perf_branches_5,31.0,8.764044051407836
time_4,32.0,8.799261678010225
weights_4,33.0,8.804795236093923
perf_cycles_4,34.0,9.019516397966072
energy_2,35.0,10.569953696918674
perf_cache_misses_1,36.0,10.582660114974715
energy_1,37.0,10.969953696918674
perf_time_5,38.0,11.386089981999248
time_2,39.0,11.39088736998383
perf_time_4,40.0,11.395592015993316
perf_time_3,41.0,11.40399266849272
time_3,42.0,11.407727704005083
time_5,43.0,11.411264493974159
perf_faults_1,44.0,11.548487003543414
weights_5,45.0,11.644398735603318
perf_cpu_clock_5,46.0,11.672025030944496
perf_faults_4,47.0,11.674019943922758
perf_faults_5,48.0,11.682797943474725
perf_branch_misses_4,49.0,11.692414502962492
perf_cpu_clock_3,50.0,11.693473021965474
perf_cache_references_4,51.0,11.69455100048799
perf_cache_references_5,52.0,11.701386764529161
perf_L1_dcache_loads_5,53.0,11.72593767894432
perf_faults_2,54.0,11.730275604990311
perf_instructions_4,55.0,11.734747235430405
perf_branches_4,56.0,11.782643535872921
perf_instructions_5,57.0,11.789845834486187
weights_2,58.0,12.00358799402602
perf_cache_misses_3,59.0,12.33626222005114
perf_L1_dcache_loads_1,60.0,12.451349480543286
perf_cache_misses_4,61.0,12.530490573029965
perf_L1_dcache_loads_3,62.0,13.285777530050837
perf_task_clock_3,63.0,16.185878605465405
perf_cpu_clock_4,64.0,19.30374227196444
perf_cpu_clock_1,65.0,20.364022262045182
perf_task_clock_4,66.0,20.55609303258825
perf_task_clock_1,67.0,20.646243014140055
perf_task_clock_2,68.0,20.689011684036814
original,69.0,21.001230296533322
perf_cpu_clock_2,70.0,21.001248443499207
perf_task_clock_5,71.0,21.127218650537543
