total_decreases,proportion_of_decreases,average_decrease_per_step,average_decrease_percentage_per_step,std_deviation_of_decreases,median_decrease,iqr_decrease,number_of_large_decreases,proportion_of_large_decreases,number_of_retries,item_name
8,0.0963855421686747,1306563.9714285645,0.002373616741340502,777911.7066838775,1610347.7999999523,1297419.5999999642,2,0.2857142857142857,5,energy
4,0.012307692307692308,139615326.44444403,0.00812024289522113,68919778.42340055,95452969.33333206,75247381.66666603,1,0.3333333333333333,3,perf_branches
5,0.012077294685990338,1572.25,0.02530988409529942,1531.8918654722336,1437.5,2871.75,2,0.5,1,perf_faults
8,0.02318840579710145,1141.238095142858,0.017182835230992694,1334.9673642973175,697.6666669999977,631.1666665000012,1,0.14285714285714285,3,perf_faults
5,0.016286644951140065,1012.6875,0.016124313350847862,190.99045910398246,981.75,309.8125,0,0.0,4,perf_faults
2,0.012345679012345678,2458.5999999999985,0.038833448636422484,0.0,2458.5999999999985,0.0,0,0.0,5,perf_faults
5,0.006561679790026247,4.25,0.25,3.344772040064913,2.5,2.75,1,0.25,1,perf_cpu_clock
5,0.00620347394540943,16.25,0.2195945945945946,10.425329730996522,12.5,13.25,1,0.25,2,perf_cpu_clock
4,0.012578616352201259,17.666666666666668,0.27894736988919666,3.0307073859512648,18.333334,3.6666670000000003,0,0.0,3,perf_cpu_clock
6,0.02843601895734597,6.2,0.12156862745098039,3.819031290785662,5.75,4.0,1,0.2,4,perf_cpu_clock
5,0.02252252252252252,11.0,0.15109890109890112,8.120344820264716,6.9,5.700000000000003,1,0.25,5,perf_cpu_clock
5,0.005973715651135006,5.25,0.22826086956521738,2.680951323690902,6.0,3.25,1,0.25,1,perf_task_clock
3,0.007575757575757576,5.75,0.3026315789473684,3.75,5.75,3.75,1,0.5,2,perf_task_clock
6,0.014184397163120567,4.2,0.11351351351351352,1.2578640272744912,4.0000000000000036,1.3333340000000007,1,0.2,3,perf_task_clock
2,0.00796812749003984,8.25,0.4714285714285714,0.0,8.25,0.0,0,0.0,4,perf_task_clock
4,0.020100502512562814,9.200000000000001,0.15807560137457047,7.652450587883596,4.399999999999999,8.399999999999999,1,0.3333333333333333,5,perf_task_clock
5,0.005931198102016607,0.10325000000000006,0.011556197255613018,0.15010557118241788,0.02185000000000059,0.09164999999999957,1,0.25,1,time
4,0.013793103448275862,0.0397333333333337,0.004568204986701659,0.020891199635785025,0.0343,0.025150000000000006,1,0.3333333333333333,2,time
3,0.009174311926605505,0.037799999999999834,0.00437353203207255,0.008899999999999686,0.037799999999999834,0.008899999999999686,0,0.0,3,time
7,0.03783783783783784,0.028116666666666568,0.003214729444406321,0.021725976515581037,0.02414999999999967,0.025550000000001738,1,0.16666666666666666,4,time
5,0.027932960893854747,0.004875000000000185,0.0005655649268536242,0.004777747900423067,0.004400000000000404,0.00892499999999874,2,0.5,5,time
5,0.0059382422802850355,0.04798725000000026,0.005451408512704902,0.020065692130786014,0.04536449999999981,0.01628875000000196,1,0.25,1,perf_time
5,0.014245014245014245,0.022358249999999913,0.00255735541432571,0.009414430476003549,0.019714999999999705,0.008766249999999864,1,0.25,3,perf_time
7,0.03225806451612903,0.01395766666666661,0.0015912768251258797,0.02226235881232945,0.0048445000000008065,0.007897750000000592,1,0.16666666666666666,4,perf_time
4,0.02857142857142857,0.016974333333333647,0.0019413304420956036,0.007734407511604434,0.017105000000000814,0.009472000000000591,1,0.3333333333333333,5,perf_time
8,0.009569377990430622,376748681.0,0.005818806618700979,278126113.5746614,304489743.0,371055110.0,2,0.2857142857142857,1,perf_cycles
2,0.005555555555555556,166892432.0,0.002649821339338489,0.0,166892432.0,0.0,0,0.0,2,perf_cycles
4,0.008,214439289.1111094,0.0033797569997114536,103022340.48114905,195374470.66666412,125091180.66666794,1,0.3333333333333333,3,perf_cycles
