item_name_orig,mean_median_execution_time,rank
original,8.642225059506018,1.0
perf_time,8.66287351330393,2.0
time,8.667458789702504,3.0
perf_cycles,8.692696747201262,4.0
perf_cache_references,8.701049933608738,5.0
perf_cache_misses,8.70672786089126,6.0
perf_instructions,8.714519093600101,7.0
perf_branch_misses,8.715630000992679,8.0
perf_L1_dcache_loads,8.728671873197891,9.0
perf_branches,8.729067056195344,10.0
weights,8.75111692192033,11.0
energy,8.807452043748928,12.0
perf_faults,8.809401514625643,13.0
perf_task_clock,8.82637486550957,14.0
perf_cpu_clock,8.850751713733189,15.0
