item_name,rank_median_execution_time,median_execution_time
time_5,1.0,8.626885814999696
perf_time_4,2.0,8.635437529504998
perf_time_5,3.0,8.641559014999075
original,4.0,8.642225059506018
perf_cache_references_2,5.0,8.647474586512544
perf_time_1,6.0,8.649172021003324
time_1,7.0,8.653222102017025
perf_cache_references_1,8.0,8.654010720492806
perf_cycles_2,9.0,8.66258113249205
perf_cycles_3,10.0,8.669297123502474
perf_cache_misses_5,11.0,8.67271948751295
time_2,12.0,8.679125074486365
energy_3,13.0,8.681402675982099
energy_4,14.0,8.682526560034603
perf_cache_references_4,15.0,8.683302184974309
perf_branch_misses_3,16.0,8.683481920976192
perf_L1_dcache_loads_2,17.0,8.683643356547691
perf_cache_misses_2,18.0,8.685073604458012
time_4,19.0,8.687891569003114
time_3,20.0,8.690169388006325
perf_time_3,21.0,8.690538812006707
weights_1,22.0,8.691653733549174
perf_branches_2,23.0,8.69312671746593
perf_branches_4,24.0,8.694610952574294
perf_branch_misses_1,25.0,8.695174404012505
perf_time_2,26.0,8.697660189005546
weights_4,27.0,8.698315553483553
perf_L1_dcache_loads_1,28.0,8.701051724492572
perf_instructions_2,29.0,8.70221673505148
perf_cache_misses_4,30.0,8.704307448526379
perf_cycles_1,31.0,8.706275901000481
perf_cycles_5,32.0,8.70990615451592
perf_branch_misses_5,33.0,8.710547468508594
perf_instructions_4,34.0,8.7124094074592
weights_2,35.0,8.7124653129722
perf_instructions_1,36.0,8.714044663938694
perf_branches_5,37.0,8.714723447978031
perf_cycles_4,38.0,8.715423424495384
perf_instructions_3,39.0,8.717441597487777
perf_branches_1,40.0,8.719528650457505
perf_cache_misses_1,41.0,8.721107101475354
perf_instructions_5,42.0,8.726483064063359
perf_L1_dcache_loads_4,43.0,8.73183906043414
perf_branch_misses_4,44.0,8.733235343941487
perf_faults_2,45.0,8.733640597958583
perf_cache_references_3,46.0,8.734837971569505
weights_3,47.0,8.73968863952905
perf_L1_dcache_loads_3,48.0,8.747157717531081
perf_cache_misses_3,49.0,8.750431662483606
perf_branch_misses_2,50.0,8.755710867524613
perf_L1_dcache_loads_5,51.0,8.77966750698397
perf_cache_references_5,52.0,8.785624204494525
energy_2,53.0,8.787955996580422
perf_faults_5,54.0,8.809890871983953
perf_task_clock_4,55.0,8.81699841201771
perf_faults_1,56.0,8.820179960108362
perf_task_clock_2,57.0,8.820289815077558
perf_branches_3,58.0,8.823345512500964
perf_faults_3,59.0,8.824802546063438
perf_cpu_clock_1,60.0,8.827513726544566
perf_task_clock_1,61.0,8.829077117959969
perf_task_clock_3,62.0,8.830135438009165
perf_cpu_clock_4,63.0,8.832663172506727
perf_task_clock_5,64.0,8.835373544483446
perf_cpu_clock_2,65.0,8.845505598583259
perf_cpu_clock_5,66.0,8.856087057502009
perf_faults_4,67.0,8.858493597013876
perf_cpu_clock_3,68.0,8.891989013529383
energy_5,69.0,8.897418989567086
weights_5,70.0,8.91346137006767
energy_1,71.0,8.987955996580421
