item_name,rank_new_highs,new_highs
perf_cache_references_4,1.0,1
weights_3,1.0,1
perf_branches_3,2.0,2
perf_cache_misses_5,2.0,2
perf_cache_misses_2,2.0,2
perf_cache_references_1,2.0,2
perf_branch_misses_5,2.0,2
perf_cpu_clock_3,2.0,2
perf_L1_dcache_loads_3,2.0,2
perf_L1_dcache_loads_2,2.0,2
perf_branches_5,2.0,2
time_2,2.0,2
weights_4,2.0,2
perf_task_clock_4,2.0,2
perf_cycles_3,3.0,3
perf_instructions_3,3.0,3
perf_cache_references_3,3.0,3
perf_instructions_1,3.0,3
perf_cache_references_5,3.0,3
perf_cache_misses_1,3.0,3
perf_branch_misses_4,3.0,3
perf_cache_misses_4,3.0,3
perf_cache_references_2,3.0,3
perf_cycles_2,3.0,3
weights_1,3.0,3
perf_L1_dcache_loads_1,3.0,3
perf_branches_4,3.0,3
perf_time_1,3.0,3
weights_2,3.0,3
time_3,3.0,3
time_1,3.0,3
perf_task_clock_2,3.0,3
perf_branches_2,3.0,3
perf_cpu_clock_2,3.0,3
perf_L1_dcache_loads_5,3.0,3
perf_faults_5,3.0,3
perf_faults_2,3.0,3
energy_2,4.0,4
perf_instructions_5,4.0,4
energy_4,4.0,4
energy_1,4.0,4
perf_branch_misses_3,4.0,4
weights_5,4.0,4
perf_cpu_clock_5,4.0,4
perf_cache_misses_3,4.0,4
perf_task_clock_5,4.0,4
perf_branch_misses_2,4.0,4
perf_cpu_clock_4,4.0,4
perf_cycles_5,4.0,4
perf_time_5,4.0,4
perf_cpu_clock_1,4.0,4
time_4,5.0,5
perf_L1_dcache_loads_4,5.0,5
perf_branch_misses_1,5.0,5
perf_instructions_2,5.0,5
perf_time_2,5.0,5
perf_cycles_4,5.0,5
perf_faults_1,5.0,5
perf_task_clock_3,5.0,5
perf_faults_3,6.0,6
perf_faults_4,6.0,6
time_5,6.0,6
perf_time_3,6.0,6
perf_cycles_1,6.0,6
energy_3,6.0,6
perf_task_clock_1,6.0,6
perf_branches_1,7.0,7
perf_instructions_4,7.0,7
perf_time_4,8.0,8
energy_5,9.0,9
