total_decreases,proportion_of_decreases,average_decrease_per_step,average_decrease_percentage_per_step,std_deviation_of_decreases,median_decrease,iqr_decrease,number_of_large_decreases,proportion_of_large_decreases,number_of_retries,item_name
4,0.012698412698412698,3944287.0,0.0074720303292193984,2281937.0111726355,4673662.5,2722473.75,1,0.3333333333333333,1,energy
4,0.014652014652014652,3944287.0,0.0074720303292193984,2281937.0111726355,4673662.5,2722473.75,1,0.3333333333333333,2,energy
2,0.025974025974025976,7371038.99999994,0.013662190463721741,0.0,7371038.99999994,0.0,0,0.0,5,energy
16,0.02002503128911139,920313815.8444445,0.05389785338259698,1987179280.7386746,23575133.66666603,51338673.833333015,3,0.2,3,perf_branches
4,0.046511627906976744,10710175.003733331,0.0722162614858657,4943615.501100629,8402969.70279999,5715470.593799993,1,0.3333333333333333,5,weights
13,0.013347022587268994,2574.0833333333335,0.041041523833819635,2640.9852157333676,1144.0,4347.0,4,0.3333333333333333,1,perf_faults
15,0.021739130434782608,2450.380952357143,0.03621984172700609,3529.258505807832,623.1666665000012,2535.250000749995,2,0.14285714285714285,3,perf_faults
13,0.019696969696969695,2593.5,0.03849536341270637,4222.997021518012,617.75,2081.75,3,0.25,4,perf_faults
10,0.0196078431372549,3012.5777777777785,0.049786115738414856,4688.253300366253,982.2000000000044,2093.199999999997,2,0.2222222222222222,5,perf_faults
7,0.007021063189568706,15.833333333333334,0.16666666666666669,17.94822801529134,6.0,24.5,2,0.3333333333333333,1,perf_cpu_clock
6,0.006103763987792472,10.0,0.18181818181818182,7.516648189186454,10.5,13.0,1,0.2,2,perf_cpu_clock
8,0.010217113665389528,6.857142857142857,0.13271889315296567,4.2570468892986435,6.333333999999997,6.666666499999996,2,0.2857142857142857,3,perf_cpu_clock
10,0.02252252252252252,5.25,0.08641975308641975,4.9972214501883165,2.75,8.5,3,0.3333333333333333,4,perf_cpu_clock
4,0.021164021164021163,10.6,0.19850187265917602,5.530521373854971,14.0,6.100000000000001,0,0.0,5,perf_cpu_clock
5,0.0050968399592252805,6.75,0.25,5.11737237261468,5.5,4.25,1,0.25,1,perf_task_clock
