item_name_orig,mean_median_execution_time,rank
perf_cache_misses,1.87098458687542,1.0
perf_branch_misses,1.8728855644003488,2.0
perf_branches,1.8815865437849424,3.0
perf_instructions,1.896978370193392,4.0
perf_faults,1.8986099377973005,5.0
perf_L1_dcache_loads,1.9227238712017425,6.0
perf_cache_references,2.053326745191589,7.0
perf_cycles,2.1872344382456506,8.0
perf_time,2.189695661398582,9.0
time,2.233767068758607,10.0
energy,5.405503440441098,11.0
perf_task_clock,6.321177706914023,12.0
weights,6.684509376983624,13.0
perf_cpu_clock,7.207335652224719,14.0
original,9.650195926078595,15.0
