item_name,rank_median_execution_time,median_execution_time
perf_branches_5,1.0,1.7294771794695407
perf_branches_2,2.0,1.7860008414718322
perf_L1_dcache_loads_4,3.0,1.7927123829722404
perf_branch_misses_2,4.0,1.7955428565037437
perf_instructions_4,5.0,1.8009463914786465
perf_branch_misses_3,6.0,1.8118320929352194
perf_cache_references_4,7.0,1.8176042040577158
perf_cycles_4,8.0,1.8195648650289513
perf_cache_misses_1,9.0,1.8318116714945063
perf_branch_misses_1,10.0,1.831866645545233
perf_L1_dcache_loads_5,11.0,1.8358649015426636
perf_cache_misses_2,12.0,1.842999487533234
perf_faults_5,13.0,1.8544979359721765
perf_cache_misses_4,14.0,1.867373825982213
perf_branches_3,15.0,1.870493057067506
perf_faults_1,16.0,1.875790894497186
perf_faults_3,17.0,1.8792565860785544
perf_cache_misses_3,18.0,1.9029823819291778
perf_instructions_1,19.0,1.9069809504435398
perf_cache_misses_5,20.0,1.9097555674379691
perf_instructions_2,21.0,1.9113471030141227
perf_branches_4,22.0,1.9188348384341225
perf_instructions_3,23.0,1.9280537040322088
perf_cache_references_5,24.0,1.933727847004775
perf_faults_4,25.0,1.9341774509521201
perf_instructions_5,26.0,1.9375637019984424
perf_cache_references_3,27.0,1.939781482971739
perf_faults_2,28.0,1.9493268214864656
perf_time_2,29.0,1.9541463165078312
perf_branch_misses_5,30.0,1.956160904490389
perf_L1_dcache_loads_2,31.0,1.9614323495188728
perf_branch_misses_4,32.0,1.969025322527159
perf_L1_dcache_loads_1,33.0,1.9798896044958383
perf_L1_dcache_loads_3,34.0,2.043720117479097
perf_branches_1,35.0,2.103126802481711
time_3,36.0,2.17034628696274
time_1,37.0,2.1798597049200907
perf_time_1,38.0,2.18016790098045
perf_cycles_5,39.0,2.18074973707553
perf_cache_references_1,40.0,2.1916747194482014
time_4,41.0,2.2198289840016514
perf_time_3,42.0,2.225080371950753
perf_cycles_1,43.0,2.257443601032719
time_2,44.0,2.258298889384605
perf_time_5,45.0,2.2830995715921745
perf_cycles_2,46.0,2.2851488685701042
perf_time_4,47.0,2.305984145961702
time_5,48.0,2.3405014785239473
perf_cache_references_2,49.0,2.383845472475514
perf_cycles_3,50.0,2.3932651195209473
energy_4,51.0,2.6227385100210086
perf_task_clock_5,52.0,2.9090924200136214
perf_task_clock_3,53.0,3.0965335770742968
weights_1,54.0,3.513041485508438
energy_2,55.0,4.023569199605845
perf_task_clock_2,56.0,4.083809225005098
perf_cpu_clock_3,57.0,4.085212854086421
energy_1,58.0,4.323569199605845
weights_4,59.0,5.982392252946738
perf_cpu_clock_1,60.0,6.065606918069534
weights_3,61.0,6.321971070487052
perf_cpu_clock_2,62.0,6.46057029243093
energy_3,63.0,7.199764372955542
perf_cpu_clock_4,64.0,8.34725786105264
weights_2,65.0,8.798910663987044
weights_5,66.0,8.806231411988847
perf_task_clock_4,67.0,8.853410084499046
energy_5,68.0,8.85787592001725
original,69.0,9.650195926078595
perf_cpu_clock_5,70.0,11.078030335484073
perf_task_clock_1,71.0,12.66304322797805
