item_name,rank_new_highs,new_highs
weights_3,1.0,1
energy_5,1.0,1
perf_task_clock_5,1.0,1
perf_task_clock_2,2.0,2
weights_4,3.0,3
weights_1,3.0,3
perf_task_clock_3,3.0,3
perf_cpu_clock_5,3.0,3
energy_1,3.0,3
energy_2,3.0,3
weights_5,3.0,3
perf_task_clock_1,4.0,4
perf_cpu_clock_2,5.0,5
energy_3,5.0,5
energy_4,5.0,5
weights_2,5.0,5
perf_cpu_clock_1,6.0,6
perf_task_clock_4,6.0,6
perf_time_5,7.0,7
perf_instructions_2,7.0,7
perf_cache_references_2,7.0,7
perf_cpu_clock_3,7.0,7
perf_L1_dcache_loads_2,8.0,8
perf_time_1,8.0,8
perf_cache_misses_2,8.0,8
perf_cache_references_5,8.0,8
perf_cpu_clock_4,9.0,9
perf_branch_misses_1,9.0,9
perf_faults_5,9.0,9
perf_cycles_4,10.0,10
perf_branches_4,10.0,10
perf_cache_misses_1,10.0,10
perf_cycles_1,10.0,10
perf_time_4,10.0,10
time_5,11.0,11
perf_cache_references_3,11.0,11
perf_cycles_5,11.0,11
time_4,11.0,11
perf_cache_misses_3,11.0,11
perf_branches_1,11.0,11
perf_instructions_5,12.0,12
perf_instructions_3,12.0,12
perf_faults_1,12.0,12
perf_branch_misses_4,12.0,12
time_3,12.0,12
perf_faults_4,12.0,12
perf_L1_dcache_loads_4,12.0,12
perf_L1_dcache_loads_5,12.0,12
perf_time_3,13.0,13
time_2,13.0,13
perf_cycles_3,13.0,13
perf_cache_misses_5,13.0,13
perf_faults_3,14.0,14
perf_branch_misses_3,14.0,14
perf_branch_misses_5,14.0,14
perf_cache_references_4,14.0,14
perf_branches_3,15.0,15
perf_branches_5,15.0,15
perf_time_2,15.0,15
perf_cycles_2,15.0,15
perf_instructions_1,16.0,16
perf_faults_2,16.0,16
perf_cache_references_1,16.0,16
perf_L1_dcache_loads_1,17.0,17
perf_cache_misses_4,17.0,17
time_1,17.0,17
perf_L1_dcache_loads_3,18.0,19
perf_branches_2,19.0,20
perf_instructions_4,20.0,21
perf_branch_misses_2,20.0,21
