Key,Median,IQR
perf_task_clock,0.0020408163265306124,0.0038959821172000956
perf_time,0.0020429009193054137,0.002492246472984836
perf_instructions,0.002044989775051125,0.0022418389197220645
perf_branch_misses,0.0021141649048625794,0.0009072978303747534
time,0.0022346368715083797,0.001503220402833808
perf_cycles,0.002355712603062426,0.0007204429623104509
perf_branches,0.00243605359317905,0.0001967968419895002
perf_L1_dcache_loads,0.002544529262086514,0.0011724183612638272
perf_cpu_clock,0.006772009029345372,0.11970715852089531
energy,0.008,0.0014189886480908149
weights,0.015873015873015872,0.014322250639386188
perf_cache_references,0.026476578411405296,0.04043027204036988
perf_cache_misses,0.034574468085106384,0.05505336768494663
perf_faults,0.03945371775417299,0.008512866256859743
